country,iso3,reporter_code,year,flow,variant,total_trade_value,product_gini,product_top_1pct_share,product_top_2pct_share,product_top_5pct_share,product_top_10pct_share,product_top_200_share,product_active_count,partner_gini,partner_top_1pct_share,partner_top_2pct_share,partner_top_5pct_share,partner_top_10pct_share,partner_top_200_share,partner_active_count,top_5_partner_share,product_partner_cell_gini,product_partner_cell_top_1pct_share,product_partner_cell_top_2pct_share,product_partner_cell_top_5pct_share,product_partner_cell_top_10pct_share,product_partner_cell_top_200_share,product_partner_cell_active_count,baseline_total_trade_value,trade_share_removed
Iceland,ISL,352,2012,Exports,oil_aircraft,4955720066.0,0.9780579820803044,0.7274828297373809,0.8613043552004376,0.9585765426081272,0.9874451385123899,0.9912506577404406,1683,0.8927550970451548,0.4359844650676441,0.5324248169509097,0.6732715225162196,0.8381084572342348,1.0,111,0.6281477796449852,0.9717696905425239,0.7400932510621757,0.8381965027642867,0.928516560604293,0.9708973822009259,0.8832257727852055,6715,5063441713.0,0.021274392617857685
Iceland,ISL,352,2012,Exports,oil_aircraft_precious,4954110655.0,0.9780275298486603,0.7277191625426057,0.8615841617691925,0.9579897042085751,0.987579230201914,0.9914804103220016,1672,0.8927326570104968,0.4359050690199006,0.532283942898728,0.6731711266146517,0.838059146460466,1.0,111,0.62803567131869,0.9716916867045728,0.7379916579598483,0.8375008900563203,0.9283654593702247,0.9708159607105102,0.8835127008280359,6673,5063441713.0,0.021592241838056636
Iceland,ISL,352,2012,Exports,full_exclusion,4902073437.0,0.9783467383264792,0.7354441550770264,0.8645372313299353,0.9586838039856154,0.9876089412407553,0.9915833880234055,1669,0.89317485573991,0.4405323532487912,0.5379343224637212,0.6790699131258241,0.8372066795293911,1.0,111,0.6336374542158864,0.9718469184625713,0.7396942399171977,0.8388711003310904,0.928745024225144,0.9708928097806463,0.8844583639394384,6660,5063441713.0,0.03186928677103151
Iceland,ISL,352,2013,Exports,baseline,4997710478.0,0.9776101403748529,0.7193553565829429,0.8682858226986714,0.9599618985771908,0.9870337410929949,0.9909176951726574,1655,0.8974969828468897,0.42176479495537517,0.5165663113868758,0.6968179145890891,0.8368159673134231,1.0,129,0.6110159366858786,0.9694359607845,0.7177583324985878,0.8300160201877145,0.9256379775027056,0.9677985434113416,0.8750418819279191,6862,4997710478.0,0.0
Iceland,ISL,352,2013,Exports,oil_only,4917806286.0,0.977914567385749,0.7292496624378019,0.8663641254290755,0.9602127996466594,0.9869874701689297,0.9909803645323984,1650,0.8913803056148868,0.4274429852969609,0.5205779896796854,0.6615876339542343,0.8234337469794352,1.0,118,0.6147116281513493,0.9704201348381643,0.726213581687223,0.8370098038871798,0.9286096388140653,0.9690342048580642,0.8816146102262312,6782,4997710478.0,0.015988159448559358
Iceland,ISL,352,2013,Exports,oil_aircraft,4917682730.0,0.977878009882152,0.7292679847201122,0.86638589269056,0.9602369248412249,0.9870122680728531,0.9910052627571604,1646,0.8913847165518305,0.42745372473429166,0.5205877809852121,0.6615897219542669,0.8234399013374334,1.0,118,0.6147227334448231,0.9703759652281725,0.7262318276884853,0.8370308336259831,0.9284164960759882,0.9689304517211097,0.8816367606537318,6767,4997710478.0,0.016012881969110326
Iceland,ISL,352,2013,Exports,oil_aircraft_precious,4916543327.0,0.9778422753892664,0.7294369916980495,0.8665866765786767,0.9597762316231491,0.987099080638286,0.9912349270343367,1636,0.8913704359877552,0.4273915906446765,0.5204931572445797,0.6615238956888378,0.8234093760077221,1.0,118,0.6146471604154339,0.9702878062289446,0.7264001310406839,0.8363025311746632,0.928196157031446,0.9688734385478548,0.8818410789121477,6725,4997710478.0,0.016240866964442824
Iceland,ISL,352,2013,Exports,full_exclusion,4874666583.0,0.9781706536562365,0.7357033579500508,0.8712457105909924,0.960879856139281,0.9872114426825815,0.9914265465568971,1626,0.8906294025058983,0.43049564134671814,0.5237681522473883,0.6627888108834786,0.8260262613739464,1.0,116,0.618151036936263,0.970687370256825,0.7296298912839922,0.8386051058868902,0.9292551282988948,0.9692462900903186,0.8845581263008814,6699,4997710478.0,0.024620052630427658
Iceland,ISL,352,2014,Exports,baseline,5051299777.0,0.9758674950092721,0.7031543142960054,0.8560617575479128,0.9529607709916758,0.9859275136819899,0.9908784892930341,1613,0.8971624010083283,0.4043447786052869,0.47967621027612595,0.6885112089042424,0.8368846933710702,1.0,130,0.5897203497134674,0.9688670683281815,0.7197778756974376,0.8316771040057004,0.9246591232354017,0.966376796963559,0.8726911241878568,7045,5051299777.0,0.0
Iceland,ISL,352,2014,Exports,oil_only,4950606600.0,0.9760491458763232,0.7131075832202057,0.8580548470565204,0.9529054542528183,0.9856949417067395,0.9908430619391168,1603,0.8942376637370137,0.4078949935145321,0.4846360035960038,0.6944252609367103,0.8416002162240078,1.0,123,0.5960957624869647,0.9698361848240491,0.728338153348723,0.8385449781042994,0.9275621951055453,0.9676374642654902,0.878707661804515,6966,5051299777.0,0.019934112296895234
