variant,variant_label,outcome,outcome_label,excluded_reporter_code,excluded_country,excluded_iso3,years,mean_spearman,median_spearman,min_spearman,max_spearman,share_positive,min_year_countries,max_year_countries
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,233,Estonia,EST,25,0.4153762101510784,0.4181910073196235,0.2751021919319375,0.46568114872299565,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,748,Eswatini,SWZ,25,0.4146732633992248,0.4197350993377483,0.2815246053993608,0.4694639793875026,1.0,130,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,231,Ethiopia,ETH,25,0.4171412503542342,0.42068557628329933,0.27940898684538606,0.47106322487168445,1.0,130,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,242,Fiji,FJI,25,0.4079693021897393,0.41161234451267514,0.2665339367883399,0.4593456762279676,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,246,Finland,FIN,25,0.4168938378454026,0.42018942474350446,0.2794052089551111,0.4677246290638946,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,251,France,FRA,25,0.41585624309359287,0.4169118159637504,0.28116570582324,0.4660570397556024,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,258,French Polynesia,PYF,25,0.40757276076021076,0.4117089065196225,0.2650681153616574,0.4587203302373581,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,266,Gabon,GAB,25,0.42352690084601063,0.42856032309531833,0.2827259745067964,0.4728538330633752,1.0,130,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,270,Gambia,GMB,25,0.40524496944047966,0.4077603077130711,0.28493981820791997,0.45560043466672134,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,268,Georgia,GEO,25,0.4153340914022745,0.41860568274230514,0.27929942802741237,0.46752643197397464,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,276,Germany,DEU,25,0.41635339555665984,0.4182278189868323,0.2797036622868326,0.4674512537674533,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,288,Ghana,GHA,25,0.41659245687846863,0.41958709839822017,0.2774104828899349,0.4670241048667637,1.0,130,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,300,Greece,GRC,25,0.4180786644436855,0.4231090150553238,0.2779204980770538,0.46730613756054074,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,304,Greenland,GRL,25,0.40974329710098095,0.41280246689642663,0.27583041197614544,0.45605833828826053,1.0,130,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,308,Grenada,GRD,25,0.40450967956420114,0.4067689090275357,0.26200424634866903,0.45585343732994743,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,320,Guatemala,GTM,25,0.41642501677027416,0.41953293830602995,0.2773047019622362,0.4687873755288103,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,328,Guyana,GUY,25,0.41601785859869267,0.41688065255427686,0.2875276730462641,0.4682064530238725,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,340,Honduras,HND,25,0.4150987533004287,0.41858487277797135,0.27725936727893674,0.4661253835797128,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,348,Hungary,HUN,25,0.4142314346376343,0.41693621470895775,0.27430505708392205,0.46477559305353366,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,352,Iceland,ISL,25,0.41297256622202366,0.41744603664066754,0.27262389591156716,0.4648029305831778,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,699,India,IND,25,0.4244108859916,0.42746253049843147,0.28436180099585184,0.4742138751631709,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,360,Indonesia,IDN,25,0.417552405675689,0.42102729654911825,0.2801947880225767,0.46968267962465565,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,364,Iran,IRN,25,0.41285074243974745,0.41521894446151403,0.27583041197614544,0.4618436429992004,1.0,130,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,372,Ireland,IRL,25,0.41176462009186254,0.4145469619118313,0.26949202487362955,0.4620965151484086,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,376,Israel,ISR,25,0.41429613625814155,0.41628989810378575,0.27924275967328804,0.46365817152932975,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,380,Italy,ITA,25,0.4258878085991135,0.42908598229787115,0.28691187693144643,0.47852637046453295,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,388,Jamaica,JAM,25,0.4180636985046337,0.42221279631361286,0.27908031039146497,0.47053014304362384,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,392,Japan,JPN,25,0.41275803111053394,0.41627026286661956,0.275230640201286,0.46337796185047736,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,400,Jordan,JOR,25,0.41542499898003643,0.41825374695015677,0.2768022425556672,0.4670343564403802,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,398,Kazakhstan,KAZ,25,0.4140058208257244,0.418009697974608,0.2728619029988893,0.46496695576104263,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,404,Kenya,KEN,25,0.41748224445767773,0.4205804315861243,0.2795147677730848,0.47060532125014515,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,414,Kuwait,KWT,25,0.41384991881377703,0.4164634205122767,0.27289212612108893,0.46488836036331566,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,417,Kyrgyzstan,KGZ,25,0.41941377248914724,0.42505099264447305,0.27924275967328804,0.46763236490134563,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,428,Latvia,LVA,25,0.41457857013645083,0.41791715269007945,0.27422194349787304,0.4648610228336716,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,422,Lebanon,LBN,25,0.41537164705549173,0.41879400487974905,0.2770629169846391,0.4663338322432493,1.0,130,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,426,Lesotho,LSO,25,0.4094120071840733,0.4195155106308818,0.2626956002689858,0.4605143556202544,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,440,Lithuania,LTU,25,0.41552029116092143,0.41799233182293477,0.2766020143710946,0.46650810899473066,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,442,Luxembourg,LUX,25,0.4160172402239912,0.41918089926803753,0.27673424053071805,0.46722913633909474,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,450,Madagascar,MDG,25,0.40933033029309407,0.41160370306480365,0.26769374910275107,0.4611567875668915,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,454,Malawi,MWI,25,0.4104905125532183,0.41534480652409705,0.266530158898065,0.4605143556202544,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,458,Malaysia,MYS,25,0.4130856811106507,0.41659811781108397,0.2724198898367196,0.4634360541009711,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,462,Maldives,MDV,25,0.40637045203203337,0.40929051972695235,0.2650114470075331,0.4694366418578585,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,466,Mali,MLI,25,0.4213853763115598,0.42927708636595874,0.28025523426697596,0.4722816190526562,1.0,130,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,470,Malta,MLT,25,0.4231700353677224,0.4263207187464139,0.28202706480592976,0.47289483935784143,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,478,Mauritania,MRT,25,0.4146489563137405,0.4153299992226167,0.2853440524673402,0.4734300976962425,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,480,Mauritius,MUS,25,0.41395118848465584,0.4183747505895157,0.2671232876712329,0.462793622154334,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,484,Mexico,MEX,25,0.409676313888418,0.411947981837988,0.2686722226839644,0.46054511034110396,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,496,Mongolia,MNG,25,0.4180242345947373,0.42496955248633106,0.2831604318884162,0.47239251225063045,1.0,130,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,499,Montenegro,MNE,25,0.41864572668291605,0.42331483654590085,0.2819099502074062,0.47146645343393545,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,500,Montserrat,MSR,25,0.41508167469670654,0.4177515508239579,0.27583041197614544,0.4655958077010708,1.0,130,155
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,504,Morocco,MAR,25,0.41868199313230486,0.42194287256707136,0.2777844940271555,0.46956649512366816,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,508,Mozambique,MOZ,25,0.4177769706082789,0.42303590101080507,0.28002856085047867,0.47021889096253083,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,516,Namibia,NAM,25,0.4109092684180289,0.4164970372952248,0.26796197931227284,0.46493278384898745,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,528,Netherlands,NLD,25,0.41599325753632366,0.41814569536423835,0.28025523426697596,0.46644318236182586,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,554,New Zealand,NZL,25,0.4202146881074419,0.4239711567196553,0.2801758985712019,0.47153821444925126,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,558,Nicaragua,NIC,25,0.41378847788690004,0.41775531544092015,0.27794316541870356,0.46565381119335153,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,562,Niger,NER,25,0.4093952349853187,0.410613787319368,0.2677579732374253,0.4601726364997027,1.0,129,154
