model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,variant,variant_label,bh_q_value
conditional_gdp_gdppc_year_fe,cadot_broad_156,Exports,product,exposure,world_share_exposure,log_gdp_per_capita,0.020033582651034835,0.003508412246496584,5.710156402241466,5.647372036398977e-08,0.013102756154747569,0.0269644091473221,3721,155,0.2813810585168709,ok,3753,32,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Broad-primary-excluded non-commodity basket,2.2589488145595907e-07
population_robustness_year_fe,cadot_broad_156,Exports,product,exposure,world_share_exposure,log_population,0.0014997299218705803,0.002482129898071029,0.6042108928449255,0.5465925252570059,-0.003403688050734039,0.0064031478944752,3722,155,0.030705929257687004,ok,3753,31,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Broad-primary-excluded non-commodity basket,0.6264635735333521
main_gdp_year_fe,cadot_broad_156,Exports,product,product_alignment,spearman_product_alignment,log_gdp_current_usd,0.06406396481415251,0.003822847207400336,16.758180837082985,1.544833966010532e-36,0.056511975807511175,0.07161595382079385,3717,155,0.5559440435058778,ok,3753,36,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Broad-primary-excluded non-commodity basket,9.269003796063193e-36
conditional_gdp_gdppc_year_fe,cadot_broad_156,Exports,product,product_alignment,spearman_product_alignment,log_gdp_current_usd,0.04909869717065342,0.003798940825972204,12.92431217537808,2.404809624407342e-26,0.041593934935038754,0.056603459406268083,3717,155,0.6631538011685696,ok,3753,36,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Broad-primary-excluded non-commodity basket,2.8857715492888103e-25
conditional_gdp_gdppc_year_fe,cadot_broad_156,Exports,product,product_alignment,spearman_product_alignment,log_gdp_per_capita,0.05125966805143444,0.006515085610344677,7.867842591361217,5.932820747363058e-13,0.038389194229879575,0.06413014187298931,3717,155,0.6631538011685696,ok,3753,36,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Broad-primary-excluded non-commodity basket,3.559692448417835e-12
population_robustness_year_fe,cadot_broad_156,Exports,product,product_alignment,spearman_product_alignment,log_population,0.03384914988556876,0.005890557592783102,5.746340537785338,4.737223899482559e-08,0.022212423704734238,0.04548587606640328,3718,155,0.17097893962540212,ok,3753,35,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Broad-primary-excluded non-commodity basket,2.8423343396895356e-07
main_gdp_year_fe,cadot_broad_156,Exports,product,top_1pct_world_product_share,top_1pct_world_product_export_share,log_gdp_current_usd,0.028410903983528163,0.0033270657182322286,8.53932756057002,1.2166544989845647e-14,0.021838325388227844,0.03498348257882848,3721,155,0.22965000987146167,ok,3753,32,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Broad-primary-excluded non-commodity basket,3.649963496953694e-14
conditional_gdp_gdppc_year_fe,cadot_broad_156,Exports,product,top_1pct_world_product_share,top_1pct_world_product_export_share,log_gdp_current_usd,0.019765510079557094,0.00367621059747096,5.376598961211506,2.7640339547917193e-07,0.012503199944729962,0.027027820214384227,3721,155,0.30872814622672595,ok,3753,32,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Broad-primary-excluded non-commodity basket,8.292101864375157e-07
conditional_gdp_gdppc_year_fe,cadot_broad_156,Exports,product,top_1pct_world_product_share,top_1pct_world_product_export_share,log_gdp_per_capita,0.029571971898997844,0.005848431633600344,5.056393534482181,1.1994109493346743e-06,0.01801846504747017,0.04112547875052552,3721,155,0.30872814622672595,ok,3753,32,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Broad-primary-excluded non-commodity basket,2.8785862784032184e-06
population_robustness_year_fe,cadot_broad_156,Exports,product,top_1pct_world_product_share,top_1pct_world_product_export_share,log_population,0.01229029333487711,0.004279208109566073,2.872095261598153,0.004652852750271168,0.003836768815766195,0.020743817853988024,3722,155,0.04496214639153395,ok,3753,31,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Broad-primary-excluded non-commodity basket,0.013958558250813505
main_gdp_year_fe,cadot_broad_156,Exports,product,top_5pct_world_product_share,top_5pct_world_product_export_share,log_gdp_current_usd,0.03194592070531256,0.005215396754440492,6.125309772092253,7.234281657596209e-09,0.02164296669800561,0.04224887471261951,3721,155,0.15384130788099337,ok,3753,32,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Broad-primary-excluded non-commodity basket,1.0851422486394313e-08
conditional_gdp_gdppc_year_fe,cadot_broad_156,Exports,product,top_5pct_world_product_share,top_5pct_world_product_export_share,log_gdp_current_usd,0.022293111723219523,0.006253134939869383,3.565109651013734,0.0004847664277960933,0.009940118323032852,0.0346461051234062,3721,155,0.20535692613010104,ok,3753,32,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Broad-primary-excluded non-commodity basket,0.0006463552370614577
conditional_gdp_gdppc_year_fe,cadot_broad_156,Exports,product,top_5pct_world_product_share,top_5pct_world_product_export_share,log_gdp_per_capita,0.03301788202313535,0.009202567783094029,3.587898812741403,0.0004473156352652365,0.014838319262619332,0.051197444783651375,3721,155,0.20535692613010104,ok,3753,32,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Broad-primary-excluded non-commodity basket,0.0006463552370614577
population_robustness_year_fe,cadot_broad_156,Exports,product,top_5pct_world_product_share,top_5pct_world_product_export_share,log_population,0.013914205326038414,0.006688311765487963,2.080376306295475,0.03914734093107568,0.000701525303625614,0.027126885348451216,3722,155,0.032073404298774366,ok,3753,31,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Broad-primary-excluded non-commodity basket,0.07829468186215136
main_gdp_year_fe,cadot_broad_156,Exports,product,top_10pct_world_product_share,top_10pct_world_product_export_share,log_gdp_current_usd,0.031973329827668755,0.0051630706153704044,6.192696596572688,5.142567122674699e-09,0.021773745483227823,0.042172914172109686,3721,155,0.16450879948077957,ok,3753,32,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Broad-primary-excluded non-commodity basket,1.0285134245349398e-08
conditional_gdp_gdppc_year_fe,cadot_broad_156,Exports,product,top_10pct_world_product_share,top_10pct_world_product_export_share,log_gdp_current_usd,0.021235771525184036,0.006127254405354766,3.4657890990499016,0.0006851848045439391,0.009131453617694076,0.033340089432674,3721,155,0.22559943296378016,ok,3753,32,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Broad-primary-excluded non-commodity basket,0.000822221765452727
conditional_gdp_gdppc_year_fe,cadot_broad_156,Exports,product,top_10pct_world_product_share,top_10pct_world_product_export_share,log_gdp_per_capita,0.036728317519353314,0.009254656087206485,3.9686312676843882,0.00011054799120649515,0.0184458549360899,0.05501078010261673,3721,155,0.22559943296378016,ok,3753,32,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Broad-primary-excluded non-commodity basket,0.0001895108420682774
population_robustness_year_fe,cadot_broad_156,Exports,product,top_10pct_world_product_share,top_10pct_world_product_export_share,log_population,0.01245734803499083,0.006645263302340522,1.874620683668507,0.0627387385051744,-0.0006702902625492259,0.025584986332530885,3722,155,0.043205862577387566,ok,3753,31,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Broad-primary-excluded non-commodity basket,0.0941081077577616
main_gdp_year_fe,cadot_broad_156,Exports,product,top_20pct_world_product_share,top_20pct_world_product_export_share,log_gdp_current_usd,0.021115064064172993,0.004732283307738693,4.461918843625353,1.5598569965193198e-05,0.011766494901593766,0.030463633226752218,3721,155,0.10656407347786911,ok,3753,32,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Broad-primary-excluded non-commodity basket,1.5598569965193198e-05
conditional_gdp_gdppc_year_fe,cadot_broad_156,Exports,product,top_20pct_world_product_share,top_20pct_world_product_export_share,log_gdp_current_usd,0.010040833374967247,0.005242556223847325,1.9152552583591822,0.0573134498886342,-0.0003157738398206541,0.02039744058975515,3721,155,0.1999600462362473,ok,3753,32,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Broad-primary-excluded non-commodity basket,0.0573134498886342
conditional_gdp_gdppc_year_fe,cadot_broad_156,Exports,product,top_20pct_world_product_share,top_20pct_world_product_export_share,log_gdp_per_capita,0.03787992107494276,0.007680626258009345,4.931879224749627,2.0891888859580003e-06,0.022706935622549537,0.05305290652733598,3721,155,0.1999600462362473,ok,3753,32,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Broad-primary-excluded non-commodity basket,4.1783777719160005e-06
population_robustness_year_fe,cadot_broad_156,Exports,product,top_20pct_world_product_share,top_20pct_world_product_export_share,log_population,0.0027825458346563327,0.0057055720856726885,0.48768919100042707,0.6264635735333521,-0.008488743685936715,0.014053835355249381,3722,155,0.020827055889990453,ok,3753,31,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Broad-primary-excluded non-commodity basket,0.6264635735333521
