country,iso3,reporter_code,year,population,population_quartile,is_bottom_population_quartile,world_relative_product_gini,active_product_gini,driver_rank,product_id,country_product_exports,country_share,leave_one_out_product_exports,leave_one_out_world_weight,world_weight_percentile,relative_intensity,loo_gini_contribution,positive_loo_gini_contribution,driver_bucket,representative_classification_code,representative_cmd_code,product_description,product_label
Australia,AUS,36,2000,19028802.0,3,False,0.8388118090200221,0.9442757406910944,12,HS1992:020130,804711188.0,0.013340595063415487,3107085918.163,0.0005397128565840561,0.9386295928500497,24.71794937006062,0.0013874862073814942,0.0013874862073814942,overweight_large_world_product,H0,020130,Boneless,020130 - Boneless
Australia,AUS,36,2000,19028802.0,3,False,0.8388118090200221,0.9442757406910944,13,HS1992:271121,364.0,6.034434062178389e-09,44559761522.928,0.0077402031400736196,0.9974180734856007,7.796221821280253e-07,0.0012573506528613665,0.0012573506528613665,underweight_large_world_product,H0,271121,In gaseous state :-- Natural gas,271121 - In gaseous state :-- Natural gas
Australia,AUS,36,2000,19028802.0,3,False,0.8388118090200221,0.9442757406910944,14,HS1992:847193,11709441.5509,0.0001941204751204338,51312486919.33687,0.008913177692247667,0.9982125124131083,0.02177904242717748,0.001136446215744047,0.001136446215744047,underweight_large_world_product,H0,847193,Computer data storage units,847193 - Computer data storage units
Australia,AUS,36,2000,19028802.0,3,False,0.8388118090200221,0.9442757406910944,15,HS1992:870332,5141729.0,8.524017751673194e-05,43274081023.008,0.007516875458270571,0.997219463753724,0.011339841665587923,0.0010764917402870111,0.0010764917402870111,underweight_large_world_product,H0,870332,"Other vehicles, with compression-ignition internal combustion piston engine (diesel or semi-diesel) :-- Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc","870332 - Other vehicles, with compression-ignition internal combustion piston engine (diesel or semi-diesel) :-- Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc"
Austria,AUT,40,2000,8011566.0,2,False,0.7021535611926066,0.8693647084191058,1,HS1992:270900,12194435.0,0.00021331276682112172,306057895104.805,0.053134335392383845,1.0,0.00401459367555574,0.016378756897822533,0.016378756897822533,underweight_large_world_product,H0,270900,"Petroleum oils and oils obtained from bituminous minerals, crude.","270900 - Petroleum oils and oils obtained from bituminous minerals, crude."
Austria,AUT,40,2000,8011566.0,2,False,0.7021535611926066,0.8693647084191058,2,HS1992:870333,1012807201.0,0.01771666389641389,6800160405.273001,0.001180567498747435,0.9771598808341608,15.006904658319845,0.003409950587526911,0.003409950587526911,overweight_large_world_product,H0,870333,"Other vehicles, with compression-ignition internal combustion piston engine (diesel or semi-diesel) :-- Of a cylinder capacity exceeding 2,500 cc","870333 - Other vehicles, with compression-ignition internal combustion piston engine (diesel or semi-diesel) :-- Of a cylinder capacity exceeding 2,500 cc"
Austria,AUT,40,2000,8011566.0,2,False,0.7021535611926066,0.8693647084191058,3,HS1992:870323,189799183.0,0.003320087307539743,140649029270.141,0.024417905283226776,0.9996027805362463,0.13596937448276483,0.003235617530262913,0.003235617530262913,underweight_large_world_product,H0,870323,"Other vehicles, with spark-ignition internal combustion reciprocating piston engine :-- Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc","870323 - Other vehicles, with spark-ignition internal combustion reciprocating piston engine :-- Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc"
Austria,AUT,40,2000,8011566.0,2,False,0.7021535611926066,0.8693647084191058,4,HS1992:271121,0.0,0.0,44559761886.928,0.007735965550877318,0.9974180734856007,0.0,0.0023220934248057157,0.0023220934248057157,missing_large_world_product,H0,271121,In gaseous state :-- Natural gas,271121 - In gaseous state :-- Natural gas
Austria,AUT,40,2000,8011566.0,2,False,0.7021535611926066,0.8693647084191058,5,HS1992:220290,509206092.0,0.008907354901370228,1296997281.557,0.0002251701056026043,0.8482621648460774,39.55833691835869,0.0022948884106109846,0.0022948884106109846,overweight_mid_world_product,H0,220290,Other,220290 - Other
Austria,AUT,40,2000,8011566.0,2,False,0.7021535611926066,0.8693647084191058,6,HS1992:851790,0.0,0.0,33723371036.605,0.005854673040233693,0.9966236345580933,0.0,0.0017540629806590546,0.0017540629806590546,missing_large_world_product,H0,851790,Parts,851790 - Parts
