product_id,classification_code,cmd_code,product_label,primary_strict,primary_broad,primary_strict_rule,primary_broad_rule
HS1992:300120,H0,300120,Extracts of glands or other organs or of their secretions,False,False,not_primary_strict,not_primary_broad
HS1992:310430,H0,310430,Potassium sulphate,False,False,not_primary_strict,not_primary_broad
HS1992:330112,H0,330112,Essential oils of citrus fruit :-- Of orange,False,False,not_primary_strict,not_primary_broad
HS1992:380700,H0,380700,"Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers' pitch and similar preparations based on rosin, resin acids or on vegetable pitch.",False,False,not_primary_strict,not_primary_broad
HS1992:390490,H0,390490,Other,False,False,not_primary_strict,not_primary_broad
HS1992:540833,H0,540833,Other woven fabrics :-- Of yarns of different colours,False,False,not_primary_strict,not_primary_broad
HS1992:550969,H0,550969,"Other yarn, of acrylic or modacrylic staple fibres :-- Other",False,False,not_primary_strict,not_primary_broad
HS1992:570251,H0,570251,"Other, not of pile construction, not made up :-- Of wool or fine animal hair",False,False,not_primary_strict,not_primary_broad
HS1992:721931,H0,721931,Not further worked than cold-rolled (cold-reduced) :- Of a thickness of 4.75 mm or more,False,False,not_primary_strict,not_primary_broad
HS1992:843352,H0,843352,Other harvesting machinery; threshing machinery :-- Other threshing machinery,False,False,not_primary_strict,not_primary_broad
HS1992:847520,H0,847520,Machines for manufacturing or hot working glass nes,False,False,not_primary_strict,not_primary_broad
HS1992:890710,H0,890710,Inflatable rafts,False,False,not_primary_strict,not_primary_broad
HS1992:900921,H0,900921,Other photo-copying apparatus :-- Incorporating an optical system,False,False,not_primary_strict,not_primary_broad
HS1992:901290,H0,901290,Parts and accessories,False,False,not_primary_strict,not_primary_broad
HS1992:901710,H0,901710,"Drafting tables and machines, whether or not automatic",False,False,not_primary_strict,not_primary_broad
HS1992:090500,H0,090500,Vanilla.,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:100640,H0,100640,Broken rice,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:100890,H0,100890,Other cereals,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:110230,H0,110230,Rice flour,False,True,not_primary_strict,broad_first_stage_food_inputs_hs11_15_23
HS1992:150790,H0,150790,Other,False,True,not_primary_strict,broad_first_stage_food_inputs_hs11_15_23
HS1992:160231,H0,160231,Of poultry of heading No. 01.05 :-- Of turkeys,False,False,not_primary_strict,not_primary_broad
HS1992:220710,H0,220710,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,False,False,not_primary_strict,not_primary_broad
HS1992:250621,H0,250621,Quartzite :-- Crude or roughly trimmed,True,True,strict_minerals_ores_hs25_26,strict_minerals_ores_hs25_26
HS1992:262020,H0,262020,Containing mainly lead,True,True,strict_minerals_ores_hs25_26,strict_minerals_ores_hs25_26
HS1992:270760,H0,270760,Phenols,False,True,not_primary_strict,broad_all_fuels_refinery_hs27
