country,iso3,reporter_code,snapshot,year,flow,source_raw_file,active_nonenergy_products,total_nonenergy_imports,gini,theil,hhi,direct_active_gini,direct_active_hhi,fixed_nonenergy_universe_count,top10_share,top5_share,top5_gini_contribution,top5_theil_contribution,top5_hhi_contribution,rank6_50_share,rank6_50_gini_contribution,rank6_50_theil_contribution,rank6_50_hhi_contribution,rank51_200_share,rank51_200_gini_contribution,rank51_200_theil_contribution,rank51_200_hhi_contribution,rank201_plus_share,rank201_plus_gini_contribution,rank201_plus_theil_contribution,rank201_plus_hhi_contribution
Antigua and Barbuda,ATG,28,mid,2015,Imports,COMTRADE-FINAL-CA0282015H3[2016-03-09].gz,3057,364837357.00000006,0.8722915239826475,2.4670345171311676,0.006597719251580965,0.8722915239826479,0.006597719251580965,4924,0.19193808919408434,0.11988037411969299,0.11971721407816449,0.5789590432886598,0.003251223924750759,0.3077644126086087,0.30337676515535883,1.1150443632340994,0.0026162217275170745,0.284720694279319,0.26403697540864923,0.6514346256091127,0.0005996025638411858,0.28763451899237913,0.18516056934047495,0.12159648499929611,0.0001306710354719447
Antigua and Barbuda,ATG,28,end,2024,Imports,COMTRADE-FINAL-CA0282024H3[2025-04-16].gz,3185,611992069.599,0.8642643711481386,2.3206812805354358,0.005206603390930742,0.8642643711481386,0.005206603390930742,4924,0.16698898001197332,0.10114341094372695,0.10100447696480089,0.46816004272869527,0.0021657639096031136,0.28914094926476525,0.2851598570314983,1.0279572605849243,0.002281061611742188,0.2864306420206224,0.26625563378558736,0.654867868567832,0.0005988678513975503,0.32328499777088543,0.21184440336625213,0.16969610865398418,0.00016091001818788997
Argentina,ARG,32,start,2000,Imports,COMTRADE-FINAL-CA0322000H1[2002-09-01].gz,4172,18274962254.0,0.8231510393260151,1.8494728509451357,0.003868676119232769,0.8231510393260153,0.003868676119232769,4924,0.14802365137549356,0.09033149839885847,0.09023489246803669,0.40726726984359146,0.0017006350499882972,0.24193161853519965,0.23932700212191302,0.8145480131525887,0.0015861121990253663,0.2358636887416687,0.22321662074497106,0.49434684437509474,0.0004102922847879487,0.43187319432427324,0.27037252399109424,0.13331072357386065,0.00017163658543115708
Argentina,ARG,32,mid,2012,Imports,COMTRADE-FINAL-CA0322012H4[2013-05-25].gz,4214,53800533706.0,0.8642423860771937,2.2986664357527538,0.009958255910744016,0.8642423860771937,0.009958255910744016,4924,0.22607258406409073,0.16142303708229128,0.16129295632672888,0.8483228772830139,0.007462094456497588,0.2641791347312484,0.2614872153928798,0.920538089304306,0.0019877301866403183,0.22550129606790076,0.21365261412230196,0.46443480959134187,0.00038145288915239636,0.3488965321185596,0.22780960023528296,0.06537065957409166,0.00012697837845370967
Argentina,ARG,32,end,2024,Imports,COMTRADE-FINAL-CA0322024H6[2025-06-19].gz,4287,55060344919.00001,0.872433013977662,2.249295689793035,0.0074600737980712985,0.8724330139776624,0.0074600737980712985,4924,0.19383276153974488,0.12894992973763333,0.1288451932240754,0.6476078426362932,0.004741111435159727,0.27246985133247814,0.2697332213098368,0.9563642221015652,0.0020786839063009314,0.260217379596911,0.2469292592241835,0.5753292532433982,0.0005135819969200328,0.33836283933297745,0.2269253402195663,0.06999437181177764,0.00012669645969060696
Armenia,ARM,51,start,2000,Imports,COMTRADE-FINAL-CA0512000H1[2002-09-01].gz,2499,536422385.0,0.9140971218671045,3.628158922003028,0.044752046943240704,0.9140971218671043,0.044752046943240704,4924,0.44211850778747797,0.3572214067837605,0.3567954112619414,2.197359133067271,0.04159052251358283,0.2937949244545415,0.2891503826652491,1.0779370962541694,0.002842058415797237,0.18749731433933353,0.17115680510543618,0.3543812447615714,0.00027137804364893865,0.1614863544223644,0.09699452283447785,-0.001518552079983304,4.808797021170081e-05
Armenia,ARM,51,mid,2012,Imports,COMTRADE-FINAL-CA0512012H3[2013-03-29].gz,3694,2965076574.0,0.8748667943128063,2.352892268297328,0.0063272573351852,0.8748667943128063,0.0063272573351852,4924,0.19134153577377389,0.12089833434433252,0.1207596150868824,0.5830271592210384,0.003190247008632681,0.30080947455983886,0.2971858752231972,1.0793507303327656,0.0024591811116763517,0.26963857034304783,0.25376813066688664,0.6075060492508182,0.0005578195366689022,0.30865362075278074,0.2031531733358402,0.08300832949270616,0.0001200096782072646
Armenia,ARM,51,end,2024,Imports,COMTRADE-FINAL-CA0512024H6[2025-08-21].gz,4229,15513502790.990002,0.9283591909919574,4.143643539868338,0.15168917440123514,0.9283591909919575,0.15168917440123514,4924,0.5476865316732121,0.4967633596884588,0.49653564415338586,3.4612819985529515,0.15058371605648002,0.16234258849574787,0.16081518534726155,0.5007015453161305,0.0009018062843745977,0.1460584351905731,0.13843370008577832,0.2374535407138857,0.0001594123673899978,0.19483561662522003,0.13257466140553176,-0.055793544714629856,4.423969299051138e-05
Aruba,ABW,533,start,2005,Imports,COMTRADE-FINAL-CA5332005H2[2006-08-18].gz,181,371022820.00000006,0.8196193945313953,4.758071971209802,0.0401261358127245,0.8196193945313952,0.0401261358127245,4924,0.5224692971715323,0.35336547223699066,0.345446369725031,2.089814666929949,0.0281427787150533,0.5756438747902353,0.46011217964150886,2.5442315123373054,0.011874496796144097,0.07099065297277402,0.014060845164855593,0.12402579194254731,0.00010886030152710321,0.0,0.0,0.0,0.0
Aruba,ABW,533,mid,2016,Imports,COMTRADE-FINAL-CA5332016H4[2019-07-21].gz,3446,1008524941.21,0.8639454522139618,2.28250698529454,0.005681906341778658,0.8639454522139625,0.005681906341778658,4924,0.17754901159908337,0.12206067391567507,0.12190283125562273,0.586892617917831,0.0030943491651426944,0.2734144736684491,0.26981114901343584,0.9487857041949691,0.0019184728172858734,0.2633456957666075,0.24612310192129572,0.5792526828902678,0.0005044375767906307,0.34117915664926834,0.2261083700236075,0.16757598029147247,0.00016464678255945878
