country,iso3,reporter_code,year,import_bin,total_imports_in_bin,active_products,product_gini,top_1_product_share,top_5_product_share,top_10_product_share
Iceland,ISL,352,2001,final_consumption,625145726.0,1127,0.7911444911062728,0.07535676249668545,0.20590908590807513,0.2809119885112995
Iceland,ISL,352,2001,intermediates,940706928.0,2407,0.8724182875651396,0.10385742476428322,0.2542175377707009,0.3193119961799622
Iceland,ISL,352,2001,unmapped_or_ambiguous,84718936.0,124,0.7814252376062465,0.1826104496874229,0.4878124177574657,0.637937745110491
Iceland,ISL,352,2002,capital_goods,386824444.0,499,0.8349340351507046,0.20658670681111352,0.44146055309782856,0.5230867028661715
Iceland,ISL,352,2002,energy,189709775.0,21,0.9069891903993625,0.7101913119658699,0.987831080396358,0.997956299299812
Iceland,ISL,352,2002,final_consumption,655069506.0,1138,0.7984996815539924,0.07888685632086193,0.21656657759306536,0.28669098054458975
Iceland,ISL,352,2002,intermediates,962450712.0,2434,0.8783682313965955,0.10341850939375688,0.2810461373527458,0.3474131348556787
Iceland,ISL,352,2002,unmapped_or_ambiguous,79482519.0,130,0.7678706002878832,0.20212886056115056,0.46595548890442184,0.6229855774953483
Iceland,ISL,352,2003,capital_goods,496534105.0,504,0.8013162631670012,0.052809758153470644,0.21136552140763826,0.35139550585352036
Iceland,ISL,352,2003,energy,214519009.0,20,0.903845917682754,0.7164998370843677,0.9884704669691999,0.9981272848412236
Iceland,ISL,352,2003,final_consumption,851257199.0,1135,0.8077021140324254,0.10456685136356773,0.24189429263199688,0.3214452169349583
Iceland,ISL,352,2003,intermediates,1160724793.0,2447,0.8734075952858071,0.08082183870436202,0.24685587378506182,0.3154001785847957
Iceland,ISL,352,2003,unmapped_or_ambiguous,103492836.0,126,0.7480892122690517,0.16987673426980007,0.42875080744719374,0.5794573452407855
Iceland,ISL,352,2004,capital_goods,684398090.0,522,0.8288700804520659,0.10481781297782407,0.30106406638276856,0.42870519261677076
Iceland,ISL,352,2004,energy,332888093.0,22,0.9146243565510659,0.7270123266319412,0.9910475320004912,0.9984925745001039
Iceland,ISL,352,2004,final_consumption,1101230944.0,1141,0.8209062563152636,0.11704231224363415,0.2719448628207091,0.35363332016939764
Iceland,ISL,352,2004,intermediates,1466003700.0,2489,0.8758721839993093,0.08414796974932601,0.2433514765344726,0.3039708344528735
Iceland,ISL,352,2004,unmapped_or_ambiguous,128310906.0,132,0.7377335236260456,0.18883387823635195,0.4000794367393836,0.5377583648267592
Iceland,ISL,352,2005,capital_goods,1010680472.0,542,0.8353504118218829,0.13828802066732718,0.2795886838901939,0.4033263492202905
Iceland,ISL,352,2005,energy,456478899.0,22,0.9184895845934422,0.7292174046362656,0.9922028137383849,0.9991368034735818
Iceland,ISL,352,2005,final_consumption,1452099907.0,1150,0.8350906814993269,0.13086772548081982,0.3168338871052624,0.40393177643802436
Iceland,ISL,352,2005,intermediates,1857663992.0,2529,0.8784525615702481,0.05922817176509066,0.22503582337833244,0.29122270191476046
Iceland,ISL,352,2005,unmapped_or_ambiguous,201920465.0,131,0.7931712535980198,0.15690316977033505,0.48754374649444276,0.649048029876516
Iceland,ISL,352,2006,capital_goods,1522747552.0,544,0.8643938087168239,0.2806564144126761,0.4040624732522965,0.5090175702347804
Iceland,ISL,352,2006,energy,516656249.0,23,0.9276701228866777,0.7461187951294865,0.9960765325031421,0.9994779526996489
Iceland,ISL,352,2006,final_consumption,1477723281.0,1165,0.8248952552559206,0.10346278627791342,0.26518426016460656,0.3538843156386598
Iceland,ISL,352,2006,intermediates,2208571369.0,2431,0.884382512335876,0.1020295418852729,0.2619020694187039,0.3274711486129023
Iceland,ISL,352,2006,unmapped_or_ambiguous,265416460.0,130,0.8043185857947399,0.12586280443948353,0.49137116062809366,0.6626946648297547
Iceland,ISL,352,2007,capital_goods,1505128744.0,552,0.8509449628458523,0.25265893466984374,0.393661941120965,0.4761606087565357
Iceland,ISL,352,2007,energy,582103223.0,23,0.9228340281616283,0.7411783339327087,0.991279337066993,0.9991847975045485
Iceland,ISL,352,2007,final_consumption,1811835140.0,1114,0.8193503229343684,0.08070043613349943,0.25856459821173355,0.34897127229798625
Iceland,ISL,352,2007,intermediates,2658305023.0,2462,0.8883801449455264,0.12103084266714716,0.27423284600248826,0.3468165011250479
Iceland,ISL,352,2007,unmapped_or_ambiguous,132318485.0,105,0.690493773125537,0.10952026090685667,0.3218316246592455,0.49491763754701396
Iceland,ISL,352,2008,capital_goods,878961934.0,525,0.8147199633551454,0.2008488970581518,0.30876762974811606,0.39964926057878636
Iceland,ISL,352,2008,energy,732022858.0,24,0.9286669325335921,0.7549428996109299,0.9946287333011123,0.9990544407289533
Iceland,ISL,352,2008,final_consumption,1418955162.0,1105,0.7976282108599575,0.054468743671267604,0.19526343849334402,0.28675268387374175
Iceland,ISL,352,2008,intermediates,3024703475.0,2386,0.906869859577158,0.23117178949252207,0.4195550302662313,0.4684193415025584
Iceland,ISL,352,2008,unmapped_or_ambiguous,111284813.0,106,0.6896814692063029,0.13592152057621734,0.3150609239016289,0.47759163687501544
