cmd_code,trade_value,rank,share,gini_contribution,theil_contribution,hhi_contribution,country,iso3,reporter_code,snapshot,year,total_nonenergy_imports,product_label
870421,581357915.0,8,0.01611628508311931,0.016059470917138868,0.07049184874872168,0.000259734644880374,Algeria,DZA,12,mid,2009,36072699881.0,"Other, with compression-ignition internal combustion piston engine (diesel or semi-diesel) :-- g.v.w. not exceeding 5 tonnes"
040221,574707207.0,9,0.015931915517715556,0.015868262741264048,0.06950211428698201,0.0002538259320636257,Algeria,DZA,12,mid,2009,36072699881.0,"In powder, granules or other solid forms, of a fat content, by weight, exceeding 1.5 % :-- Not containing added sugar or other sweetening matter"
841199,484382703.0,10,0.013427958112310057,0.013367997782313843,0.05628275156540506,0.00018031005906595348,Algeria,DZA,12,mid,2009,36072699881.0,Parts :-- Other
100190,2084157272.0,1,0.04683418955146439,0.046822478076207714,0.25481239979403253,0.0021934413109424965,Algeria,DZA,12,end,2024,44500765188.0,Other
170111,1195660829.0,2,0.026868320667043716,0.02684816438747354,0.13125360388059495,0.0007219066554670885,Algeria,DZA,12,end,2024,44500765188.0,Raw sugar not containing added flavouring or colouring matter :-- Cane sugar
100590,1187198597.0,3,0.026678161420022908,0.026644805379237683,0.1301351780806885,0.0007117242967527987,Algeria,DZA,12,end,2024,44500765188.0,Other
260111,1043168129.0,4,0.023441577343512713,0.023400544324906916,0.11131543517090092,0.0005495075483518885,Algeria,DZA,12,end,2024,44500765188.0,"Iron ores and concentrates, other than roasted iron pyrites :-- Non-agglomerated"
100110,905411070.0,5,0.02034596632608357,0.020300176454381955,0.09373394592114717,0.0004139583457421266,Algeria,DZA,12,end,2024,44500765188.0,Durum wheat
040221,797059573.0,6,0.01791114309231999,0.017861875131825987,0.08023375798937975,0.0003208090468735621,Algeria,DZA,12,end,2024,44500765188.0,"In powder, granules or other solid forms, of a fat content, by weight, exceeding 1.5 % :-- Not containing added sugar or other sweetening matter"
150710,749998444.0,7,0.016853607816214436,0.016798819893831144,0.07447080016414809,0.0002840440964227643,Algeria,DZA,12,end,2024,44500765188.0,"Crude oil, whether or not degummed"
120100,738020429.0,8,0.016584443568152696,0.016522236352968327,0.07301444454133531,0.0002750437684652413,Algeria,DZA,12,end,2024,44500765188.0,"Soya beans, whether or not broken."
040210,590502419.0,9,0.013269489108902646,0.013213079677832043,0.05546100482644595,0.00017607934121128594,Algeria,DZA,12,end,2024,44500765188.0,"In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %"
870421,511780351.0,10,0.011500484291402832,0.011445843330778513,0.046421823930919454,0.0001322611389368033,Algeria,DZA,12,end,2024,44500765188.0,"Other, with compression-ignition internal combustion piston engine (diesel or semi-diesel) :-- g.v.w. not exceeding 5 tonnes"
330300,32157605.0,1,0.040365990902289144,0.0403516308912958,0.2136212168622744,0.00162941322152369,Andorra,AND,20,start,2000,796650949.9999999,Perfumes and toilet waters.
330499,26937290.0,2,0.03381316497520025,0.033777078353028206,0.1729533728494719,0.0011433301256401087,Andorra,AND,20,start,2000,796650949.9999999,Other
870332,23154887.0,3,0.02906528511639885,0.02901358592551233,0.1442703593464013,0.0008447907988975564,Andorra,AND,20,start,2000,796650949.9999999,"Other vehicles, with compression-ignition internal combustion piston engine (diesel or semi-diesel) :-- Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc"
870323,15281365.0,4,0.019182008130411446,0.019134240767582245,0.08724157553888465,0.00036794943591517083,Andorra,AND,20,start,2000,796650949.9999999,"Other vehicles, with spark-ignition internal combustion reciprocating piston engine :-- Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc"
