country,iso3,reporter_code,year,flow,variant,total_trade_value,product_gini,product_top_1pct_share,product_top_2pct_share,product_top_5pct_share,product_top_10pct_share,product_top_200_share,product_active_count,partner_gini,partner_top_1pct_share,partner_top_2pct_share,partner_top_5pct_share,partner_top_10pct_share,partner_top_200_share,partner_active_count,top_5_partner_share,product_partner_cell_gini,product_partner_cell_top_1pct_share,product_partner_cell_top_2pct_share,product_partner_cell_top_5pct_share,product_partner_cell_top_10pct_share,product_partner_cell_top_200_share,product_partner_cell_active_count
France,FRA,251,2021,Imports,baseline,693189467353.567,0.8290991056646224,0.3427976398641773,0.4338645421043894,0.5946780035308361,0.7325193294660899,0.5405263976743628,5323,0.8929310353515654,0.3219629638303441,0.46815008659464324,0.6902176416423791,0.8304025859139794,0.9999922706978203,233,0.46815008659464324,0.9532564546536244,0.6067993377831298,0.7239333182621237,0.8643048341180884,0.9416325149129605,0.28381973093574675,195787
France,FRA,251,2022,Exports,baseline,632759243087.135,0.8672520289506203,0.41083930975162136,0.5134227485328631,0.6674189062284158,0.7899532572833746,0.6127478478709288,5463,0.8837791794790326,0.3188515616293081,0.47153377664033563,0.7064720026784935,0.816704426321955,0.9999828632072649,227,0.47153377664033563,0.9527839732845185,0.6411454532328243,0.7472714919740754,0.8704767927348206,0.938782276846542,0.2824577032761006,318076
France,FRA,251,2022,Imports,baseline,839860609989.239,0.8453905714412939,0.40225534030744015,0.48860969852644776,0.6325503502249037,0.757753864184568,0.5775498648274581,5554,0.8873262823825008,0.306501807406142,0.45255220284837444,0.6818163137690149,0.8119572605111242,0.9999896036073758,234,0.45255220284837444,0.9580718269369184,0.643897214286495,0.7505595741670182,0.8781417825904073,0.9483025027824233,0.34223227576964643,203887
France,FRA,251,2023,Exports,baseline,660448721960.4976,0.86945050307552,0.4147689986164608,0.5223541579905232,0.6744984936775125,0.7946314077291979,0.620539507670106,5465,0.8816055905515277,0.30605725357052455,0.4575242826544801,0.6996152640997558,0.8154010090444795,0.9999755592080971,228,0.4575242826544801,0.9537579580153908,0.6461015954025452,0.7517639603807634,0.8734917043663297,0.9404068200013135,0.2757510970411426,326831
France,FRA,251,2023,Imports,baseline,803968336404.1361,0.8430452893206535,0.38609862928680144,0.47736919437361874,0.6290809934740261,0.754219041073508,0.5716227514578828,5549,0.8890435427717169,0.3065895799614005,0.45038320612045346,0.6829043323098086,0.8208356150321582,0.9999898195517604,234,0.45038320612045346,0.9570083718909057,0.6337601862167774,0.7433166903567654,0.8752937961230979,0.9472771851417443,0.3208387234432309,203723
France,FRA,251,2024,Exports,baseline,645958957527.448,0.8691356173170899,0.4125960840445874,0.5192695897058941,0.671040857453954,0.7937269209451155,0.6164102219278781,5473,0.8813201029471642,0.29954459380426524,0.45100634361781694,0.6926166488552845,0.8129884471603602,0.9999756326719996,229,0.45100634361781694,0.9524819294701625,0.6379727483950818,0.7443118977156935,0.8689697067837339,0.9385723958583172,0.2661131730601858,320730
France,FRA,251,2024,Imports,baseline,762044581840.1786,0.8414753866828661,0.37820674972924667,0.46875251495441583,0.6240967771226957,0.752280865958247,0.5645491358055332,5541,0.8890702116978006,0.3023423116616931,0.4510877228421622,0.6846696108626197,0.8210299039307937,0.9999913242807622,234,0.4510877228421622,0.9562058154751492,0.6289322234873859,0.7400237376700229,0.8725934657131527,0.9457325048477437,0.3141907847103574,201741
Germany,DEU,276,1991,Exports,baseline,399485244392.0,0.7961181125142007,0.30241540862884325,0.3891184632778716,0.5414193199780957,0.6807058363666701,0.5043620814447155,4864,0.8870913419034838,0.21881248330220054,0.37466376152089315,0.6951729438884912,0.8362418965146887,1.0,188,0.44618846081106844,0.9208699181842539,0.5081525469131075,0.6226781937104795,0.7778705840936511,0.8827458969822766,0.2268417284095681,232171
Germany,DEU,276,1991,Imports,baseline,388915817912.0,0.7961717501076699,0.34270989183103495,0.42857266849895626,0.5676367963052407,0.6925325829070363,0.5309642971804373,4992,0.8807663910979633,0.2126097035084072,0.371521425093319,0.6729199298219775,0.8197408876183514,1.0,185,0.43680761240325555,0.921555504328673,0.5204174903418218,0.6266480782922155,0.7776401318303601,0.8817390605326139,0.308472626791296,112812
Germany,DEU,276,1992,Exports,baseline,426699129888.0,0.8009452544020443,0.3085047205850936,0.39754254928179666,0.5472274315377429,0.6863740007458508,0.5116087673890973,4859,0.8920686597878882,0.2980894591497902,0.44530176327726234,0.713087519142272,0.8423291465683111,0.9999996250285299,208,0.44530176327726234,0.9233321253183027,0.516999910325348,0.6309749822050709,0.7854047791847275,0.8879501019546264,0.23034005925861176,246428
