metric,rank,country,iso3,reporter_code,year,flow,metric_value,active_count,universe_count,total_trade_value,product_id_mode,harmonization_method
gini,102,Finland,FIN,246,2024,Exports,0.9263779335061719,4242,5037,69501886898.84,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,103,Hungary,HUN,348,2024,Exports,0.9258514366254393,4500,5037,148025178761.34302,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,104,Antigua and Barbuda,ATG,28,2024,Exports,0.9225977987952736,1128,5037,33361871.438,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,105,Romania,ROU,642,2024,Exports,0.9200301614645106,4648,5037,99949430292.95001,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,106,Serbia,SRB,688,2024,Exports,0.9197117929992868,4342,5037,32492155169.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,107,Thailand,THA,764,2024,Exports,0.9186940465142619,4727,5037,300759403353.17,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,108,Japan,JPN,392,2024,Exports,0.9144301674054223,4641,5037,647248499603.3369,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,109,Estonia,EST,233,2024,Exports,0.9121061658038743,4103,5037,18551126688.43,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,110,Latvia,LVA,428,2024,Exports,0.9118114063919109,4287,5037,19068065105.308,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,111,Bulgaria,BGR,100,2024,Exports,0.9117082225320985,4413,5037,42917240308.347,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,112,United Kingdom,GBR,826,2024,Exports,0.9108959839428272,4877,5037,494267654806.127,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,113,Lithuania,LTU,440,2024,Exports,0.9107052277092302,4500,5037,38760844600.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,114,Czechia,CZE,203,2024,Exports,0.9050457056990391,4812,5037,258705155452.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,115,Croatia,HRV,191,2024,Exports,0.9048666741173743,4335,5037,25955346807.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,116,Sweden,SWE,752,2024,Exports,0.9039479999166307,4764,5037,187984660379.217,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,117,Portugal,PRT,620,2024,Exports,0.8957809295158718,4671,5037,82538522791.82,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,118,Belgium,BEL,56,2024,Exports,0.8952677162413356,4911,5037,361569942857.322,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,119,India,IND,699,2024,Exports,0.8944302486910951,4857,5037,434415330189.36707,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,120,USA,USA,842,2024,Exports,0.8846524179688109,4947,5037,1861265103937.0002,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,121,Denmark,DNK,208,2024,Exports,0.8821764708231243,4690,5037,113813249913.64801,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,122,Albania,ALB,8,2024,Exports,0.8811599646131232,761,5037,2401785065.9500003,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,123,Austria,AUT,40,2024,Exports,0.8789539825202923,4712,5037,196833236914.601,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,124,Türkiye,TUR,792,2024,Exports,0.8709464424869915,4843,5037,254982397156.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,125,Poland,POL,616,2024,Exports,0.8699466513861287,4865,5037,379704654454.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,126,Cabo Verde,CPV,132,2024,Exports,0.8672017961517338,39,5037,68245098.95,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,127,Netherlands,NLD,528,2024,Exports,0.8643164969695758,4921,5037,678150400088.062,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,128,France,FRA,251,2024,Exports,0.8638216538538315,4931,5037,644263935532.759,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,129,Spain,ESP,724,2024,Exports,0.8541560796136345,4915,5037,383468213566.261,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,130,Germany,DEU,276,2024,Exports,0.8509962581789274,4848,5037,1572581059596.584,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,131,China,CHN,156,2024,Exports,0.8451283602954272,4863,5037,3479639306679.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,132,Italy,ITA,380,2024,Exports,0.8416703409004445,4848,5037,628773462492.4741,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,1,"China, Hong Kong SAR",HKG,344,2024,Imports,0.964651007932898,4466,5037,696384751615.1731,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,2,Brunei Darussalam,BRN,96,2024,Imports,0.9567679850004258,3378,5037,7123794550.046001,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,3,Gambia,GMB,270,2024,Imports,0.9539069105680009,2995,5037,988450219.419,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,4,Burkina Faso,BFA,854,2024,Imports,0.9491842374114279,3626,5037,6428761846.702,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,5,Mauritania,MRT,478,2024,Imports,0.9469343048052974,2932,5037,4811430540.477,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,6,Niger,NER,562,2024,Imports,0.9459196008293749,3332,5037,1501192423.948,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,7,Benin,BEN,204,2024,Imports,0.9417406795129715,3631,5037,3363901535.62,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,8,Singapore,SGP,702,2024,Imports,0.9395636488680941,4780,5037,452915359725.97205,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,9,China,CHN,156,2024,Imports,0.9384123187807338,4799,5037,2575856182234.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,10,Uganda,UGA,800,2024,Imports,0.937701802262392,4340,5037,13832924772.85,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,11,Pakistan,PAK,586,2024,Imports,0.9328992067497812,4389,5037,56467161489.035,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,12,Armenia,ARM,51,2024,Imports,0.9303148256713079,4387,5037,16795026899.241999,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,13,Nigeria,NGA,566,2024,Imports,0.9286972209547275,4364,5037,39593021295.422005,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,14,Malta,MLT,470,2024,Imports,0.9279923652825965,4526,5037,9442947279.227001,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,15,Côte d'Ivoire,CIV,384,2024,Imports,0.9277799924169037,4330,5037,17219302729.824,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,16,Senegal,SEN,686,2024,Imports,0.9268447345475772,4162,5037,11348956799.039,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,17,"China, Macao SAR",MAC,446,2024,Imports,0.9249378109848883,2225,5037,14765080532.807999,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,18,Lebanon,LBN,422,2024,Imports,0.9238648857022438,4263,5037,17302339444.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,19,Guyana,GUY,328,2024,Imports,0.9236495180296231,3782,5037,7210493332.705,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,20,Kyrgyzstan,KGZ,417,2024,Imports,0.9229631339361619,4135,5037,11705748368.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,21,Zambia,ZMB,894,2024,Imports,0.9217522161344553,4366,5037,11261976450.303001,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,22,Malawi,MWI,454,2024,Imports,0.9216547121626633,4051,5037,3210845719.645,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,23,Central African Rep.,CAF,140,2024,Imports,0.9213171927198038,1883,5037,779447228.9219999,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,24,Zimbabwe,ZWE,716,2024,Imports,0.9174489548860876,4222,5037,9467255896.909,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,25,Madagascar,MDG,450,2024,Imports,0.9164030900187001,4176,5037,4795450240.825001,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,26,India,IND,699,2024,Imports,0.9161637816694548,4771,5037,696237787539.3981,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,27,United Rep. of Tanzania,TZA,834,2024,Imports,0.9156683949300601,4448,5037,15684503481.074001,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,28,Oman,OMN,512,2024,Imports,0.9153899153594898,4636,5037,43442274722.59501,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,29,Switzerland,CHE,757,2024,Imports,0.9135974872206718,4944,5037,366764520548.95496,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,30,Nicaragua,NIC,558,2024,Imports,0.9120820638032616,4083,5037,11463316027.5,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,31,Mozambique,MOZ,508,2024,Imports,0.9105264982828276,4322,5037,9137666103.400002,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,32,Slovenia,SVN,705,2024,Imports,0.9104250312784838,4799,5037,74893348302.437,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,33,Angola,AGO,24,2024,Imports,0.9097576456342547,4537,5037,13877313995.48,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,34,Ireland,IRL,372,2024,Imports,0.9086931553903248,4929,5037,144399723001.803,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,35,Jamaica,JAM,388,2024,Imports,0.9078278501773389,4092,5037,7287753164.01,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,36,Cyprus,CYP,196,2024,Imports,0.907236390339295,4365,5037,13315149958.207,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,37,Kenya,KEN,404,2024,Imports,0.9071974565419387,4513,5037,20203093057.8,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,38,Egypt,EGY,818,2024,Imports,0.906870207152344,4568,5037,94634470705.65901,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,39,Bahrain,BHR,48,2024,Imports,0.9053629228599827,4476,5037,15557899390.082,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,40,Lesotho,LSO,426,2024,Imports,0.9050246694877553,4111,5037,1860489643.248,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,41,Togo,TGO,768,2024,Imports,0.904781860874049,2744,5037,2967928810.08,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,42,Namibia,NAM,516,2024,Imports,0.9047019381089683,4573,5037,8876440749.341,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,43,Honduras,HND,340,2024,Imports,0.9045109745381545,4168,5037,14508558215.869999,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,44,Cambodia,KHM,116,2024,Imports,0.903398113758201,4288,5037,28678192248.839996,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,45,Samoa,WSM,882,2024,Imports,0.9023620240663799,3063,5037,489557369.445,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,46,Morocco,MAR,504,2024,Imports,0.9011815106133529,4713,5037,96711070144.586,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,47,Bolivia (Plurinational State of),BOL,68,2024,Imports,0.9008274435382493,4275,5037,9899603990.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,48,Iceland,ISL,352,2024,Imports,0.9007121177194475,4616,5037,9835443738.776001,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,49,Georgia,GEO,268,2024,Imports,0.9003437473609905,4335,5037,16489789708.664001,harmonized_hs6_family,lt_hgl_weighted_hs1992
