country,iso3,reporter_code,metric,start_year,end_year,start_metric,end_metric,delta_metric,metric_change_direction,main_driver_bucket,main_driver_bucket_label,main_driver_group,delta_top5_contribution,delta_rank6_50_contribution,delta_rank51_200_contribution,delta_rank201_plus_contribution
Czechia,CZE,203,gini,2000,2024,0.7970519199630055,0.8633417421752048,0.06628982221219926,increase,top5,Top 5,top-5 superstar concentration,0.07666382676726008,0.07651702760196111,-0.01972640061772432,-0.06716463153929766
Côte d'Ivoire,CIV,384,gini,2000,2024,0.8943385771296745,0.9036280552625287,0.00928947813285419,increase,rank201_plus,Rank 201+ tail,long-tail compression or expansion,-0.020582404631556805,-0.030248795141169682,0.02983420850289381,0.030286469402686894
Denmark,DNK,208,gini,2000,2024,0.7936048795550857,0.842290049339188,0.04868516978410231,increase,top5,Top 5,top-5 superstar concentration,0.029608502724616306,0.009797250350936815,0.015205204995131172,-0.00592578828658219
Dominica,DMA,212,gini,2000,2023,0.8552722048153689,0.8691196304277817,0.013847425612412811,increase,rank201_plus,Rank 201+ tail,long-tail compression or expansion,0.0032083398053494444,-0.01906546691714739,-0.011432580473138498,0.04113713319734921
Dominican Rep.,DOM,214,gini,2001,2024,0.8667870029036602,0.8636455514358773,-0.0031414514677828853,decrease,top5,Top 5,top-5 superstar concentration,-0.050783995065093915,-0.01086194002675439,0.01471066993162029,0.04379381369244509
Ecuador,ECU,218,gini,2000,2024,0.8393121611405073,0.8737179686608935,0.034405807520386134,increase,top5,Top 5,top-5 superstar concentration,0.1098055440415534,-0.04145993261912903,-0.012659896907221857,-0.021279906994816467
Egypt,EGY,818,gini,2000,2024,0.8792880047457742,0.8904623967591736,0.011174392013399426,increase,rank201_plus,Rank 201+ tail,long-tail compression or expansion,-0.037650820296824344,-0.00043449947165363767,0.0018520579479598953,0.04740765383391743
El Salvador,SLV,222,gini,2000,2024,0.8513194939895985,0.8701032120822695,0.018783718092670987,increase,rank201_plus,Rank 201+ tail,long-tail compression or expansion,-0.010284853429616159,-0.02950189126334188,0.022804244307460197,0.03576621847816899
Estonia,EST,233,gini,2000,2024,0.8475214141969106,0.852949410549417,0.005427996352506348,increase,top5,Top 5,top-5 superstar concentration,-0.042372234699351835,-0.0020908433866566323,0.014823170276406089,0.035067904162108754
Eswatini,SWZ,748,gini,2000,2023,0.8543256756840735,0.8616344349194703,0.007308759235396867,increase,top5,Top 5,top-5 superstar concentration,-0.05413323413702534,0.008631075928202697,0.029176148333728863,0.023634769110490533
Ethiopia,ETH,231,gini,2000,2023,0.8644274059068784,0.8963701904214716,0.0319427845145932,increase,rank6_50,Ranks 6-50,broader upper-tier concentration,0.011120907701128058,0.011991954228837254,-0.0004858792861844319,0.00931580187081213
