flow,cmd_code,product_id
Exports,190230,HS1992:190230
Exports,190240,HS1992:190240
Exports,190300,HS1992:190300
Exports,190410,HS1992:190410
Exports,190490,HS1992:190490
Exports,190510,HS1992:190510
Exports,190520,HS1992:190520
Exports,190530,HS1992:190530
Exports,190540,HS1992:190540
Exports,190590,HS1992:190590
Exports,200110,HS1992:200110
Exports,200120,HS1992:200120
Exports,200190,HS1992:200190
Exports,200210,HS1992:200210
Exports,200290,HS1992:200290
Exports,200310,HS1992:200310
Exports,200320,HS1992:200320
Exports,200410,HS1992:200410
Exports,200490,HS1992:200490
Exports,200510,HS1992:200510
Exports,200520,HS1992:200520
Exports,200530,HS1992:200530
Exports,200540,HS1992:200540
Exports,200551,HS1992:200551
Exports,200559,HS1992:200559
Exports,200560,HS1992:200560
Exports,200570,HS1992:200570
Exports,200580,HS1992:200580
Exports,200590,HS1992:200590
Exports,200600,HS1992:200600
Exports,200710,HS1992:200710
Exports,200791,HS1992:200791
Exports,200799,HS1992:200799
Exports,200811,HS1992:200811
Exports,200819,HS1992:200819
Exports,200820,HS1992:200820
Exports,200830,HS1992:200830
Exports,200840,HS1992:200840
Exports,200850,HS1992:200850
Exports,200860,HS1992:200860
Exports,200870,HS1992:200870
Exports,200880,HS1992:200880
Exports,200891,HS1992:200891
Exports,200892,HS1992:200892
Exports,200899,HS1992:200899
Exports,200911,HS1992:200911
Exports,200919,HS1992:200919
Exports,200920,HS1992:200920
Exports,200930,HS1992:200930
Exports,200940,HS1992:200940
Exports,200950,HS1992:200950
Exports,200960,HS1992:200960
Exports,200970,HS1992:200970
Exports,200980,HS1992:200980
Exports,200990,HS1992:200990
Exports,210110,HS1992:210110
Exports,210120,HS1992:210120
Exports,210130,HS1992:210130
Exports,210210,HS1992:210210
Exports,210220,HS1992:210220
Exports,210230,HS1992:210230
Exports,210310,HS1992:210310
Exports,210320,HS1992:210320
Exports,210330,HS1992:210330
Exports,210390,HS1992:210390
Exports,210410,HS1992:210410
Exports,210420,HS1992:210420
Exports,210500,HS1992:210500
Exports,210610,HS1992:210610
Exports,210690,HS1992:210690
Exports,220110,HS1992:220110
Exports,220190,HS1992:220190
Exports,220210,HS1992:220210
Exports,220290,HS1992:220290
Exports,220300,HS1992:220300
Exports,220410,HS1992:220410
Exports,220421,HS1992:220421
Exports,220429,HS1992:220429
Exports,220430,HS1992:220430
Exports,220510,HS1992:220510
Exports,220590,HS1992:220590
Exports,220600,HS1992:220600
Exports,220710,HS1992:220710
Exports,220720,HS1992:220720
Exports,220810,HS1992:220810
Exports,220820,HS1992:220820
Exports,220830,HS1992:220830
Exports,220840,HS1992:220840
Exports,220850,HS1992:220850
Exports,220890,HS1992:220890
Exports,220900,HS1992:220900
Exports,230110,HS1992:230110
Exports,230120,HS1992:230120
Exports,230210,HS1992:230210
Exports,230220,HS1992:230220
Exports,230230,HS1992:230230
Exports,230240,HS1992:230240
Exports,230250,HS1992:230250
Exports,230310,HS1992:230310
Exports,230320,HS1992:230320
Exports,230330,HS1992:230330
Exports,230400,HS1992:230400
Exports,230500,HS1992:230500
Exports,230610,HS1992:230610
Exports,230620,HS1992:230620
Exports,230630,HS1992:230630
Exports,230640,HS1992:230640
Exports,230650,HS1992:230650
Exports,230660,HS1992:230660
Exports,230690,HS1992:230690
Exports,230700,HS1992:230700
Exports,230810,HS1992:230810
Exports,230890,HS1992:230890
Exports,230910,HS1992:230910
Exports,230990,HS1992:230990
Exports,240110,HS1992:240110
Exports,240120,HS1992:240120
Exports,240130,HS1992:240130
Exports,240210,HS1992:240210
Exports,240220,HS1992:240220
Exports,240290,HS1992:240290
Exports,240310,HS1992:240310
Exports,240391,HS1992:240391
Exports,240399,HS1992:240399
Exports,250100,HS1992:250100
Exports,250200,HS1992:250200
Exports,250310,HS1992:250310
Exports,250390,HS1992:250390
Exports,250410,HS1992:250410
Exports,250490,HS1992:250490
Exports,250510,HS1992:250510
Exports,250590,HS1992:250590
Exports,250610,HS1992:250610
Exports,250621,HS1992:250621
Exports,250629,HS1992:250629
Exports,250700,HS1992:250700
Exports,250810,HS1992:250810
Exports,250820,HS1992:250820
Exports,250830,HS1992:250830
Exports,250840,HS1992:250840
Exports,250850,HS1992:250850
Exports,250860,HS1992:250860
Exports,250870,HS1992:250870
Exports,250900,HS1992:250900
Exports,251010,HS1992:251010
Exports,251020,HS1992:251020
Exports,251110,HS1992:251110
Exports,251120,HS1992:251120
Exports,251200,HS1992:251200
Exports,251311,HS1992:251311
Exports,251319,HS1992:251319
Exports,251321,HS1992:251321
Exports,251329,HS1992:251329
Exports,251400,HS1992:251400
Exports,251511,HS1992:251511
Exports,251512,HS1992:251512
Exports,251520,HS1992:251520
Exports,251611,HS1992:251611
Exports,251612,HS1992:251612
Exports,251621,HS1992:251621
Exports,251622,HS1992:251622
Exports,251690,HS1992:251690
Exports,251710,HS1992:251710
Exports,251720,HS1992:251720
Exports,251730,HS1992:251730
Exports,251741,HS1992:251741
Exports,251749,HS1992:251749
Exports,251810,HS1992:251810
Exports,251820,HS1992:251820
Exports,251830,HS1992:251830
Exports,251910,HS1992:251910
Exports,251990,HS1992:251990
Exports,252010,HS1992:252010
Exports,252020,HS1992:252020
Exports,252100,HS1992:252100
Exports,252210,HS1992:252210
Exports,252220,HS1992:252220
Exports,252230,HS1992:252230
Exports,252310,HS1992:252310
Exports,252321,HS1992:252321
Exports,252329,HS1992:252329
Exports,252330,HS1992:252330
Exports,252390,HS1992:252390
Exports,252400,HS1992:252400
Exports,252510,HS1992:252510
Exports,252520,HS1992:252520
Exports,252530,HS1992:252530
Exports,252610,HS1992:252610
Exports,252620,HS1992:252620
Exports,252700,HS1992:252700
Exports,252810,HS1992:252810
Exports,252890,HS1992:252890
Exports,252910,HS1992:252910
Exports,252921,HS1992:252921
Exports,252922,HS1992:252922
Exports,252930,HS1992:252930
Exports,253010,HS1992:253010
Exports,253020,HS1992:253020
Exports,253030,HS1992:253030
Exports,253040,HS1992:253040
Exports,253090,HS1992:253090
Exports,260111,HS1992:260111
Exports,260112,HS1992:260112
Exports,260120,HS1992:260120
Exports,260200,HS1992:260200
Exports,260300,HS1992:260300
Exports,260400,HS1992:260400
Exports,260500,HS1992:260500
Exports,260600,HS1992:260600
Exports,260700,HS1992:260700
Exports,260800,HS1992:260800
Exports,260900,HS1992:260900
Exports,261000,HS1992:261000
Exports,261100,HS1992:261100
Exports,261210,HS1992:261210
Exports,261220,HS1992:261220
Exports,261310,HS1992:261310
Exports,261390,HS1992:261390
Exports,261400,HS1992:261400
Exports,261510,HS1992:261510
Exports,261590,HS1992:261590
Exports,261610,HS1992:261610
Exports,261690,HS1992:261690
Exports,261710,HS1992:261710
Exports,261790,HS1992:261790
Exports,261800,HS1992:261800
Exports,261900,HS1992:261900
Exports,262011,HS1992:262011
Exports,262019,HS1992:262019
Exports,262020,HS1992:262020
Exports,262030,HS1992:262030
Exports,262040,HS1992:262040
Exports,262050,HS1992:262050
Exports,262090,HS1992:262090
Exports,262100,HS1992:262100
Exports,270600,HS1992:270600
Exports,270710,HS1992:270710
Exports,270720,HS1992:270720
Exports,270730,HS1992:270730
Exports,270740,HS1992:270740
Exports,270750,HS1992:270750
Exports,270760,HS1992:270760
Exports,270791,HS1992:270791
Exports,270799,HS1992:270799
Exports,270810,HS1992:270810
Exports,270820,HS1992:270820
Exports,271000,HS1992:271000
Exports,271011,HS1992:271011
Exports,271019,HS1992:271019
Exports,271021,HS1992:271021
Exports,271025,HS1992:271025
Exports,271026,HS1992:271026
Exports,271029,HS1992:271029
Exports,271210,HS1992:271210
Exports,271220,HS1992:271220
Exports,271290,HS1992:271290
Exports,271311,HS1992:271311
Exports,271312,HS1992:271312
Exports,271320,HS1992:271320
