country,iso3,reporter_code,year,population,population_quartile,is_bottom_population_quartile,world_relative_product_gini,world_relative_import_product_gini,active_product_gini,driver_rank,product_id,country_product_imports,country_share,leave_one_out_product_imports,leave_one_out_world_weight,world_weight_percentile,relative_intensity,loo_gini_contribution,positive_loo_gini_contribution,driver_bucket,representative_classification_code,representative_cmd_code,product_description,product_label
Australia,AUS,36,2000,19028802.0,3,False,0.4481662828416728,0.4481662828416728,0.8482172737253861,9,HS1992:271111,236.0,3.310643813047961e-09,20455187207.672,0.0034492081984766622,0.9940440738534843,9.598271900519378e-07,0.0019099725512434218,0.0019099725512434218,underweight_large_world_product,H0,271111,Liquefied :-- Natural gas,271111 - Liquefied :-- Natural gas
Australia,AUS,36,2000,19028802.0,3,False,0.4481662828416728,0.4481662828416728,0.8482172737253861,10,HS1992:293229,302352592.0,0.004241448042643282,2218828678.682,0.0003741448069785768,0.909072860829859,11.336380897266185,0.0018104756942166067,0.0018104756942166067,overweight_large_world_product,H0,293229,Lactones :-- Other lactones,293229 - Lactones :-- Other lactones
Australia,AUS,36,2000,19028802.0,3,False,0.4481662828416728,0.4481662828416728,0.8482172737253861,11,HS1992:270112,4567.0,6.406656904317813e-08,14887386400.588,0.0025103507831763417,0.9912646416517769,2.5520962836163808e-05,0.001388691379716478,0.001388691379716478,underweight_large_world_product,H0,270112,"Coal, whether or not pulverised, but not agglomerated :-- Bituminous coal","270112 - Coal, whether or not pulverised, but not agglomerated :-- Bituminous coal"
Australia,AUS,36,2000,19028802.0,3,False,0.4481662828416728,0.4481662828416728,0.8482172737253861,12,HS1992:281512,202375480.0,0.002838953943960218,933967253.662,0.00015748804817740578,0.7891602144133413,18.02647233752124,0.0013428816219517303,0.0013428816219517303,overweight_mid_world_product,H0,281512,Sodium hydroxide (caustic soda):-- In aqueous solution (soda lye or liquid soda),281512 - Sodium hydroxide (caustic soda):-- In aqueous solution (soda lye or liquid soda)
Australia,AUS,36,2000,19028802.0,3,False,0.4481662828416728,0.4481662828416728,0.8482172737253861,13,HS1992:760110,8613221.0,0.00012082757124603718,13824784608.771,0.0023311720362482018,0.9904705181655747,0.051831254565191845,0.0011308909297664815,0.0011308909297664815,underweight_large_world_product,H0,760110,"Aluminium, not alloyed","760110 - Aluminium, not alloyed"
Australia,AUS,36,2000,19028802.0,3,False,0.4481662828416728,0.4481662828416728,0.8482172737253861,14,HS1992:870333,324942217.0,0.004558338730123466,6436499484.989,0.0010853397022339715,0.9749851101846337,4.19991890164984,0.0010046915082951857,0.0010046915082951857,overweight_large_world_product,H0,870333,"Other vehicles, with compression-ignition internal combustion piston engine (diesel or semi-diesel) :-- Of a cylinder capacity exceeding 2,500 cc","870333 - Other vehicles, with compression-ignition internal combustion piston engine (diesel or semi-diesel) :-- Of a cylinder capacity exceeding 2,500 cc"
Australia,AUS,36,2000,19028802.0,3,False,0.4481662828416728,0.4481662828416728,0.8482172737253861,15,HS1992:760120,3872836.0,5.432873111165006e-05,11486321425.522,0.0019368541401757044,0.9882866785785189,0.02804998579124887,0.0009987401108774718,0.0009987401108774718,underweight_large_world_product,H0,760120,Aluminium alloys,760120 - Aluminium alloys
Austria,AUT,40,2000,8011566.0,2,False,0.46795413505328215,0.46795413505328215,0.8121249833498689,1,HS1992:870332,2100200323.0,0.03139563716171811,38217970754.948,0.00643964851938535,0.9970220369267421,4.875365024536269,0.007832445594162296,0.007832445594162296,overweight_large_world_product,H0,870332,"Other vehicles, with compression-ignition internal combustion piston engine (diesel or semi-diesel) :-- Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc","870332 - Other vehicles, with compression-ignition internal combustion piston engine (diesel or semi-diesel) :-- Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc"
Austria,AUT,40,2000,8011566.0,2,False,0.46795413505328215,0.46795413505328215,0.8121249833498689,2,HS1992:270900,1606347068.0,0.024013085394958163,372812445679.603,0.06281812106725376,1.0,0.3822636683012135,0.005342898576381094,0.005342898576381094,underweight_large_world_product,H0,270900,"Petroleum oils and oils obtained from bituminous minerals, crude.","270900 - Petroleum oils and oils obtained from bituminous minerals, crude."
Austria,AUT,40,2000,8011566.0,2,False,0.46795413505328215,0.46795413505328215,0.8121249833498689,3,HS1992:854211,358863719.6599,0.005364609751536899,124667909865.38158,0.021006283309155854,0.9994044073853484,0.2553811958348037,0.004486114977341693,0.004486114977341693,underweight_large_world_product,H0,854211,"Monolithic integrated circuits, digital","854211 - Monolithic integrated circuits, digital"
Austria,AUT,40,2000,8011566.0,2,False,0.46795413505328215,0.46795413505328215,0.8121249833498689,4,HS1992:870324,136690767.0,0.002043373518750264,76299959518.66501,0.012856384356302326,0.9988088147706968,0.15893842795300236,0.004220399224877214,0.004220399224877214,underweight_large_world_product,H0,870324,"Other vehicles, with spark-ignition internal combustion reciprocating piston engine :-- Of a cylinder capacity exceeding 3,000 cc","870324 - Other vehicles, with spark-ignition internal combustion reciprocating piston engine :-- Of a cylinder capacity exceeding 3,000 cc"
Austria,AUT,40,2000,8011566.0,2,False,0.46795413505328215,0.46795413505328215,0.8121249833498689,5,HS1992:271121,0.0,0.0,40535368398.129,0.006830125198469771,0.9976176295413937,0.0,0.003658930824538331,0.003658930824538331,missing_large_world_product,H0,271121,In gaseous state :-- Natural gas,271121 - In gaseous state :-- Natural gas
Austria,AUT,40,2000,8011566.0,2,False,0.46795413505328215,0.46795413505328215,0.8121249833498689,6,HS1992:710231,247409.0,3.6984868107476786e-06,26949102054.924,0.004540867600205796,0.9956323208258884,0.0008144890220054114,0.002421697257460609,0.002421697257460609,underweight_large_world_product,H0,710231,"Non-industrial :-- Unworked or simply sawn, cleaved or bruted","710231 - Non-industrial :-- Unworked or simply sawn, cleaved or bruted"
Austria,AUT,40,2000,8011566.0,2,False,0.46795413505328215,0.46795413505328215,0.8121249833498689,7,HS1992:710239,6730022.0,0.00010060627383418434,28088657756.522,0.004732880363876735,0.9960293825689894,0.021256880820832123,0.0023890215730737463,0.0023890215730737463,underweight_large_world_product,H0,710239,Non-industrial :-- Other,710239 - Non-industrial :-- Other
Austria,AUT,40,2000,8011566.0,2,False,0.46795413505328215,0.46795413505328215,0.8121249833498689,8,HS1992:880230,608931658.0,0.009102844705567366,10442251062.772999,0.0017594975679531663,0.9864999007345642,5.173547762363069,0.0023393287132587037,0.0023393287132587037,overweight_large_world_product,H0,880230,"Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg"
Austria,AUT,40,2000,8011566.0,2,False,0.46795413505328215,0.46795413505328215,0.8121249833498689,9,HS1992:854290,7789507.0,0.00011644438521527801,27297694214.392,0.004599604653462263,0.9958308516974389,0.025316172581838478,0.002295609992149117,0.002295609992149117,underweight_large_world_product,H0,854290,Parts,854290 - Parts
Austria,AUT,40,2000,8011566.0,2,False,0.46795413505328215,0.46795413505328215,0.8121249833498689,10,HS1992:440320,367478937.0,0.005493397579401223,4246657624.984,0.0007155529701566944,0.957712924359738,7.677136156947625,0.0018938908236803553,0.0018938908236803553,overweight_large_world_product,H0,440320,"Other, coniferous","440320 - Other, coniferous"
Austria,AUT,40,2000,8011566.0,2,False,0.46795413505328215,0.46795413505328215,0.8121249833498689,11,HS1992:271111,0.0,0.0,20455187443.672,0.0034466565056528583,0.9940440738534843,0.0,0.001840121608838563,0.001840121608838563,missing_large_world_product,H0,271111,Liquefied :-- Natural gas,271111 - Liquefied :-- Natural gas
Austria,AUT,40,2000,8011566.0,2,False,0.46795413505328215,0.46795413505328215,0.8121249833498689,12,HS1992:840991,604439225.0,0.00903568787538468,14136517430.657,0.0023819737611215147,0.9906690490371253,3.7933616326362762,0.0014873675547935061,0.0014873675547935061,overweight_large_world_product,H0,840991,Other :-- Suitable for use solely or principally with spark-ignition internal combustion piston engines,840991 - Other :-- Suitable for use solely or principally with spark-ignition internal combustion piston engines
Austria,AUT,40,2000,8011566.0,2,False,0.46795413505328215,0.46795413505328215,0.8121249833498689,13,HS1992:841191,6807629.0,0.00010176641136322207,17946462521.566,0.0030239415783279056,0.9926543577526306,0.03365356397509968,0.0014722383606222689,0.0014722383606222689,underweight_large_world_product,H0,841191,Parts :-- Of turbo-jets or turbo-propellers,841191 - Parts :-- Of turbo-jets or turbo-propellers
Austria,AUT,40,2000,8011566.0,2,False,0.46795413505328215,0.46795413505328215,0.8121249833498689,14,HS1992:870431,7853398.0,0.00011739948394178142,18046060709.696,0.0030407236657086635,0.9928528886241811,0.03860906048969122,0.0014599926655614603,0.0014599926655614603,underweight_large_world_product,H0,870431,"Other, with spark-ignition internal combustion piston engine :-- g.v.w. not exceeding 5 tonnes","870431 - Other, with spark-ignition internal combustion piston engine :-- g.v.w. not exceeding 5 tonnes"
Austria,AUT,40,2000,8011566.0,2,False,0.46795413505328215,0.46795413505328215,0.8121249833498689,15,HS1992:270112,65231.0,9.751302222307266e-07,14887325736.588,0.0025084833978218047,0.9912646416517769,0.000388732978291769,0.0013365906269720007,0.0013365906269720007,underweight_large_world_product,H0,270112,"Coal, whether or not pulverised, but not agglomerated :-- Bituminous coal","270112 - Coal, whether or not pulverised, but not agglomerated :-- Bituminous coal"
