flow,dimension,item_code,item_name,display_label,reporters_evaluated,present_reporter_count,top5_reporter_count,mean_loo_gini_contribution_all_reporters,mean_loo_gini_contribution_present_reporters,mean_loo_gini_contribution_top5_reporters,median_loo_gini_contribution_top5_reporters,mean_loo_gini_contribution_share_all_reporters,mean_loo_gini_contribution_share_present_reporters,mean_loo_gini_contribution_share_top5_reporters,median_loo_gini_contribution_share_top5_reporters,mean_full_gini
Exports,product,300215,"Blood, human or animal, antisera, other blood fractions and immunological products:...","Blood, human or animal, antisera, other blood... (HS 300215)",33,32,6,0.0006467734895095721,0.0006669851610567462,0.0027032033311623627,0.0026839095571341565,0.0007167416189553065,0.0007391397945476599,0.002990528109395464,0.0030467392746121843,0.9197688938362708
Exports,product,851713,Telephone sets: smartphones for cellular or other wireless networks,Telephone sets: smartphones for cellular or... (HS 851713),33,32,4,0.0004971624056232896,0.0005126987307990175,0.0037480378152632277,0.003806869342743102,0.0005605623439512729,0.0005780799171997502,0.004216607424804851,0.004215230781778692,0.9197688938362708
Exports,product,870340,Vehicles: with both spark-ignition internal combustion piston engine and electric motor for...,Vehicles: with both spark-ignition internal... (HS 870340),33,33,4,0.0005928700089196811,0.0005928700089196811,0.0031413787886519495,0.0028020096419953955,0.0006542998462632256,0.0006542998462632256,0.0034633952049816087,0.0031412281541376144,0.9197688938362708
Exports,product,710813,"Metals: gold, semi-manufactured","Metals: gold, semi-manufactured (HS 710813)",33,33,3,0.00047572470399080734,0.00047572470399080734,0.005264800404396697,0.0015595733447113513,0.0005134368136931293,0.0005134368136931293,0.005675440437145085,0.0015937603097271745,0.9197688938362708
Exports,product,847150,Units of automatic data processing machines: processing units other than those of item no....,Units of automatic data processing machines:... (HS 847150),33,33,3,0.0004076534364757893,0.0004076534364757893,0.003987351513449866,0.003071622588282086,0.00044330342867293366,0.00044330342867293366,0.0042899233862987475,0.003305669510194985,0.9197688938362708
Exports,product,850760,"Electric accumulators: lithium-ion, including separators, whether or not rectangular...","Electric accumulators: lithium-ion, including... (HS 850760)",33,33,3,0.00018406137995651375,0.00018406137995651375,0.0020921232667815795,0.0022051884355718254,0.00020913150138470485,0.00020913150138470485,0.002365949550481077,0.002385426483303016,0.9197688938362708
Exports,product,711319,Jewellery: of precious metal (excluding silver) whether or not plated or clad with precious...,Jewellery: of precious metal (excluding silver)... (HS 711319),33,33,3,0.00032888575000023293,0.00032888575000023293,0.002892478178708154,0.0026629166724942976,0.0003747819265059088,0.0003747819265059088,0.0033171990347006484,0.003063867846901016,0.9197688938362708
Exports,product,870322,"Vehicles: with only spark-ignition internal combustion piston engine, cylinder capacity over...",Vehicles: with only spark-ignition internal... (HS 870322),33,33,3,0.0003271473155123274,0.0003271473155123274,0.0016562322515472812,0.0019459552646343692,0.0003642898675365774,0.0003642898675365774,0.0018518115581359965,0.0021422742909815396,0.9197688938362708
Exports,product,271600,Electrical energy,Electrical energy (HS 271600),33,28,3,0.00023578333838570448,0.0002778875059545803,0.001091271470212929,0.0010732675585634066,0.0002611391016179198,0.0003077710840496912,0.0012033642752170529,0.0011452036927447726,0.9197688938362708
Exports,product,854232,Electronic integrated circuits: memories,Electronic integrated circuits: memories (HS 854232),33,33,2,0.0002882979577757573,0.0002882979577757573,0.0046437966405862285,0.0046437966405862285,0.00031452058012971856,0.00031452058012971856,0.005079400704894636,0.005079400704894636,0.9197688938362708
