country,iso3,year,cmd_code,total_product_imports,product_import_share,source_hhi,top_supplier_iso3,top_supplier_name,top_supplier_share,supplier_count,hhi_contribution,hhi_contribution_share,top_supplier_component,residual_component
India,IND,2024,841112,2762382288.661,0.0039640713902959765,0.6270055024999995,USA,USA,0.7781094699165946,21,0.0024854945740184005,0.00783303225596617,0.0024000642557623205,8.543031825608014e-05
India,IND,2024,854232,4097733964.591001,0.00588032657201587,0.4202769301216314,CHN,China,0.56708641552257,50,0.0024713655997994862,0.007788504815851288,0.001891036597016733,0.0005803290027827535
India,IND,2024,170114,1652986660.772,0.002372067456920803,0.9965858754644784,BRA,Brazil,0.9982908470406648,9,0.0023639689232162176,0.00745004435785872,0.0023639659339858856,2.989230331959674e-09
India,IND,2024,854239,4228515774.045,0.006068000968624833,0.3788850021914614,CHN,China,0.5849452619189112,69,0.0022990745602952094,0.007245529874783906,0.0020762330333159175,0.0002228415269792918
India,IND,2024,151190,2059921617.1129997,0.0029560268982929167,0.7446083752066678,IDN,Indonesia,0.8534180483638101,15,0.0022010823858050945,0.00693670769040377,0.002152940502375586,4.814188342950837e-05
India,IND,2024,740311,2671625977.7139997,0.0038338343491773133,0.5653166506741728,JPN,Japan,0.7296244392626102,15,0.0021673303935165157,0.006830338339585947,0.002040948702446479,0.00012638169107003687
India,IND,2024,151211,3617048603.818,0.005190533890461289,0.40548474891333,RUS,Russian Federation,0.5418063979777278,14,0.0021046823312998253,0.006632903069661484,0.001523702883069801,0.0005809794482300244
India,IND,2024,880240,8703625216.195,0.012489868564897715,0.1575065890315203,ARE,United Arab Emirates,0.2326510943203546,19,0.0019672365951090487,0.006199743047394061,0.0006760332666626183,0.00129120332844643
India,IND,2024,740200,2171322504.264,0.003115889300908786,0.5761420716976393,ZMB,Zambia,0.7328741207107764,19,0.0017951949170060969,0.005657553968392275,0.0016735580927549922,0.00012163682425110476
India,IND,2024,710692,4318814504.697,0.006197581373273004,0.289557414827885,CHN,China,0.4347399136802534,28,0.0017945556406303844,0.0056555392898957795,0.0011713353962586044,0.00062322024437178
India,IND,2024,852491,1465843985.197,0.002103514140026387,0.8390115667411967,CHN,China,0.9151997523997792,35,0.0017648726942858,0.005561993530995434,0.0017618836428712691,2.989051414530908e-06
India,IND,2024,890120,1229072968.538,0.001763743204974459,0.9074945121756964,KOR,Rep. of Korea,0.952018210396288,4,0.001600587279401496,0.005044248303375391,0.0015985486757790672,2.038603622428729e-06
India,IND,2024,271019,6493051078.054,0.009317652419035979,0.159014790377035,RUS,Russian Federation,0.3030587476201947,84,0.0014816445462190794,0.0046694004660999475,0.0008557761013798128,0.0006258684448392665
India,IND,2024,854142,1542415857.1839998,0.0022133962400858265,0.6488469220028545,CHN,China,0.7961794272668082,25,0.0014361553375523799,0.004526041296255308,0.001403075595987872,3.3079741564507615e-05
