reporter_code,country,iso3,year,top_export_sectors,top_export_value_share,weighted_top_sector_input_product_gini,weighted_top_sector_top_supplier_share,weighted_top_sector_source_hhi,median_top_sector_matched_requirement_share,total_exports
300,Greece,GRC,1993,10,0.8666610539276765,,,,0.0,8620520822.0
300,Greece,GRC,1994,10,0.8743677291861587,,,,0.0,9199329619.0
300,Greece,GRC,1995,10,0.8509230874659014,0.7890315309866434,0.28896001691150414,0.14673297662086532,0.09046414387711851,10694594407.0
300,Greece,GRC,1996,10,0.8458025126870256,0.7807059681357849,0.2619224240404903,0.12877284498952082,0.09739784062001777,11601057554.0
300,Greece,GRC,1997,10,0.8389178430627766,0.7833718932081438,0.23832473061976348,0.11834077822516548,0.10448553980084273,10948952035.0
300,Greece,GRC,1998,10,0.8108274133430828,0.7916321077589301,0.24220174195356237,0.12195826538421639,0.1189752305832007,10704689082.0
300,Greece,GRC,1999,10,0.8081544223317279,0.7774304762123285,0.2557141315768723,0.12738339622000855,0.07787842996218079,10853542679.0
300,Greece,GRC,2000,10,0.8065064535389841,0.7953920307291935,0.23763921592332551,0.11243292461846006,0.15184855024616992,10511089058.0
300,Greece,GRC,2001,10,0.8010257936684166,0.7911163429118165,0.22727140815023855,0.11208108652668328,0.09442638415081701,10206965126.0
300,Greece,GRC,2002,10,0.7941663045356404,0.8002442419147989,0.2351195688066044,0.11164559855894711,0.1268787669735639,10173566749.0
300,Greece,GRC,2003,10,0.7831838653744841,0.8128859167644183,0.21728893317903517,0.10365633971307686,0.08635230025121643,13398871228.0
300,Greece,GRC,2004,10,0.7817893284899331,0.8054071002075892,0.23041192146619677,0.11434841851044915,0.1019951562485564,14886677762.0
300,Greece,GRC,2005,10,0.7823749776725071,0.8098989635687155,0.2468080207977014,0.12690676244150778,0.09487598211969096,16987890264.0
300,Greece,GRC,2006,10,0.7851877974647969,0.7981715177187633,0.22973378105090878,0.12499230645104073,0.09454331659412424,20377156178.0
300,Greece,GRC,2007,10,0.7767754381018713,0.7862279187414946,0.21442965414456364,0.12047502218946307,0.12988915850324648,22735280257.0
300,Greece,GRC,2008,10,0.7953676111657951,0.7921648914930896,0.2024230711559359,0.10630736479428246,0.15538085044262143,30300677690.0
300,Greece,GRC,2009,10,0.7827496819439896,0.8002267460575692,0.18390918299087913,0.09132677296318187,0.12572423167280922,23760697030.0
300,Greece,GRC,2010,10,0.8138182248641601,0.7921753910391484,0.18841144712282484,0.09445977804997943,0.09395340172802277,26881666513.0
300,Greece,GRC,2011,10,0.8287852784873481,0.791888202532537,0.1984137842858846,0.10307322418650366,0.07316653009159732,32454893685.0
300,Greece,GRC,2012,10,0.8441010752396151,0.689040380943653,0.2911382486645775,0.20400729632430623,0.07644781125624098,34437289303.0
300,Greece,GRC,2013,10,0.8447607010119195,0.7795972837189,0.20166630751338477,0.10102760383717521,0.07294856213565323,35562261225.0
300,Greece,GRC,2014,10,0.8482691522884275,0.7767153559703972,0.20245272294286892,0.09989799838241141,0.07795259914414834,35031356973.0
300,Greece,GRC,2015,10,0.8239722047150286,0.7819915826772265,0.1934997028649528,0.09896663266486953,0.07985456695992751,27657700678.0
300,Greece,GRC,2016,10,0.8233169347880976,0.7752842805425297,0.19513728929337712,0.0937802924669568,0.0971161189605775,27237748039.0
