model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,turning_point_log_gni_pc,turning_point_gni_pc_current_usd
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,log_active_product_count,log_active_product_count,log_gni_pc,0.9613172764195744,0.2807444831423539,3.4241715657583565,0.0022214979006374993,0.381889141477068,1.5407454113620809,1375,25,0.7267201353064234,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",12.441187702301894,253010.86268502675
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,log_active_product_count,log_active_product_count,log_gni_pc_sq,-0.038634465592127895,0.015318726708285588,-2.5220415722431615,0.018711493438440422,-0.07025076361133127,-0.007018167572924519,1375,25,0.7267201353064234,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",12.441187702301894,253010.86268502675
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,log_active_product_count,log_active_product_count,log_population,0.1410635218850029,0.024977996426852906,5.647511492689254,8.155122521021802e-06,0.08951147098727134,0.19261557278273445,1375,25,0.7267201353064234,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",12.441187702301894,253010.86268502675
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,log_active_product_count,log_active_product_count,oil_export_share,-0.3230653346095645,0.1933151954267276,-1.6711843779089586,0.10767591547086207,-0.7220482883916273,0.07591761917249834,1375,25,0.7267201353064234,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",12.441187702301894,253010.86268502675
quadratic_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,top_product_1pct_share,product_top_1pct_share,log_gni_pc,-0.2472403688482306,0.11083918327573843,-2.2306224346056602,0.02988186610433792,-0.46945955171743864,-0.025021185979022587,1375,55,0.26216643212484725,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",11.177259425648714,71486.18016886363
quadratic_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,top_product_1pct_share,product_top_1pct_share,log_gni_pc_sq,0.011059972728237947,0.006700636656425079,1.6505853540995699,0.10462834361095777,-0.002373994921902366,0.024493940378378258,1375,55,0.26216643212484725,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",11.177259425648714,71486.18016886363
quadratic_controls_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,top_product_1pct_share,product_top_1pct_share,log_gni_pc,-0.16777562538808097,0.08400132270208084,-1.9972974233169416,0.05084211308041297,-0.3361881374538841,0.0006368866777221316,1375,55,0.5366858356089289,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",13.266284093896513,577396.2744456505
quadratic_controls_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,top_product_1pct_share,product_top_1pct_share,log_gni_pc_sq,0.006323384310202974,0.004999908569916852,1.2646999883656134,0.21140994805590008,-0.0037008288244572904,0.01634759744486324,1375,55,0.5366858356089289,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",13.266284093896513,577396.2744456505
quadratic_controls_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,top_product_1pct_share,product_top_1pct_share,log_population,-0.04092439875528102,0.00741156874230076,-5.521691854749894,9.845915660919969e-07,-0.05578369941970182,-0.026065098090860217,1375,55,0.5366858356089289,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",13.266284093896513,577396.2744456505
quadratic_controls_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,top_product_1pct_share,product_top_1pct_share,oil_export_share,0.3824181187633522,0.054496467236650706,7.017301086742062,3.861932243414802e-09,0.27315928032117215,0.49167695720553223,1375,55,0.5366858356089289,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",13.266284093896513,577396.2744456505
