country,iso3,reporter_code,year,flow,dimension,total_trade_value,top_1_item_share,top_2_item_share,top_3_item_share,top_4_item_share,top_5_item_share,cumulative_top_5_share,gini,active_count,top_5_partner_share
Japan,JPN,392,2025,Imports,product,723703023207.774,0.08527775590943261,0.050570845861505676,0.027635172015604708,0.027630167459320076,0.01999233987684215,0.21110628112270519,0.8945368315190538,5212,
Korea,KOR,410,2024,Exports,partner,683127018292.0,0.1945508942382237,0.1879131061189112,0.08536971401425678,0.05126628874167914,0.04972444521654165,0.5688244483296124,0.9063076367803398,223,0.5688244483296125
Korea,KOR,410,2024,Exports,product,683127018292.0,0.10542651928343941,0.05247284686912783,0.05086243921499847,0.030784155382375795,0.024961245121930334,0.2645072058718718,0.9391389953114508,5014,
Korea,KOR,410,2024,Imports,partner,631727134467.0,0.2214167512829968,0.11474824215863517,0.0752931237917004,0.04978391095474286,0.04784492143035987,0.5090869496184351,0.9113807656921868,229,0.5090869496184351
Korea,KOR,410,2024,Imports,product,631727134467.0,0.1350811366556199,0.05108728433238747,0.046336529273350545,0.031559524250642214,0.03141467252430754,0.2954791470363077,0.903070337050506,5386,
Luxembourg,LUX,442,2025,Exports,partner,16677943303.946,0.25254618973314613,0.15497854375583917,0.142206545539872,0.06556044630055186,0.041648140096366464,0.6569398654257756,0.9221917918853639,200,0.6569398654257756
Luxembourg,LUX,442,2025,Exports,product,16677943303.946,0.045141920196351194,0.03530356046765624,0.03117651391073967,0.02890826199066932,0.02315435751701068,0.1636846140824271,0.9460157497865478,3994,
Luxembourg,LUX,442,2025,Imports,partner,27466321628.794003,0.2204885057487368,0.20847227768509233,0.1025153500331538,0.056636831166616754,0.04819016261214289,0.6363031272457427,0.9426882924528139,230,0.6363031272457426
Luxembourg,LUX,442,2025,Imports,product,27466321628.794,0.051872392045805876,0.030740753587580907,0.029188601953438992,0.02868659843613708,0.017100967557213586,0.15758931358017642,0.8987243161941212,5108,
Mexico,MEX,484,2025,Exports,partner,665934159184.0,0.8189815740557429,0.032958132721249554,0.014891101013876714,0.013309827177000228,0.011594820736424415,0.8917354557042938,0.9613205523278792,136,0.8917354557042938
