reporter_code,year,product_active_count_baseline,product_active_count_full_exclusion,product_gini_baseline,product_gini_full_exclusion,product_top_1pct_share_baseline,product_top_1pct_share_full_exclusion,total_trade_value_baseline,total_trade_value_full_exclusion,trade_share_removed_baseline,trade_share_removed_full_exclusion,commodity_gini_delta,commodity_top1_delta,commodity_trade_share_removed
562,1996,828.0,808.0,0.978685587013406,0.9790971609765188,0.8144920542220903,0.8228847280726436,388319814.0,384359306.0,0.0,0.01019908811555,-0.0004115739631127546,-0.008392673850553312,0.01019908811555
562,1997,1083.0,1066.0,0.978873340937193,0.9796619320108046,0.8106017973227895,0.8236947391402051,329179713.0,323947276.0,0.0,0.0158953811348635,-0.000788591073611622,-0.013092941817415604,0.0158953811348635
562,1998,1092.0,1076.0,0.9809264882482932,0.9815763095203452,0.8226307497880437,0.8337268219952242,336788806.0,332306483.0,0.0,0.0133090023188003,-0.0006498212720520424,-0.011096072207180452,0.0133090023188003
562,1999,1099.0,1072.0,0.9789193337412864,0.9791515410450664,0.7951196796327102,0.8035518821560266,293887182.0,290803229.0,0.0,0.0104936628369181,-0.00023220730378004095,-0.008432202523316334,0.0104936628369181
562,2000,1031.0,1001.0,0.9824816906563376,0.9828137211326936,0.845752035558609,0.8619961518190394,224038010.0,219816066.0,0.0,0.0188447665643879,-0.00033203047635599336,-0.01624411626043043,0.0188447665643879
562,2001,776.0,751.0,0.9833968350278044,0.983739214338846,0.845507343479511,0.8642385695505618,211268922.0,206689948.0,0.0,0.0216736752223311,-0.00034237931104164065,-0.01873122607105082,0.0216736752223311
562,2002,842.0,825.0,0.986356610873445,0.9866194478136776,0.8862881849959338,0.899433546766697,192500577.0,189687151.0,0.0,0.0146151561924928,-0.000262836940232658,-0.013145361770763198,0.0146151561924928
562,2003,752.0,730.0,0.986857668103622,0.9871334373137876,0.884896189576986,0.8987406389514786,222771513.0,219339879.0,0.0,0.0154042765782176,-0.0002757692101655884,-0.013844449374492585,0.0154042765782176
562,2004,674.0,657.0,0.9757039190852412,0.9766199395008136,0.7717943421087815,0.8185262022115771,392230376.0,366094212.0,0.0,0.0666347269340505,-0.0009160204155723717,-0.04673186010279562,0.0666347269340505
562,2005,743.0,721.0,0.9746789160355528,0.9744869143317416,0.7727873529471261,0.7988976293850572,478133464.0,395525601.0,0.0,0.1727715569391729,0.0001920017038111732,-0.026110276437931068,0.1727715569391729
562,2006,969.0,938.0,0.9778472518648056,0.9793515347026684,0.8085598736147251,0.8441585972668991,468345700.0,413718504.0,0.0,0.1166386197204329,-0.001504282837862858,-0.03559872365217398,0.1166386197204329
562,2007,630.0,615.0,0.976453432324278,0.977214613759464,0.8026916839825651,0.8290542533518879,625802067.0,551090190.0,0.0,0.1193857945502758,-0.000761181435185998,-0.026362569369322797,0.1193857945502758
562,2008,603.0,585.0,0.9820127750414198,0.9829179966203578,0.8502464887593818,0.85829275364312,1024360302.0,968824958.0,0.0,0.0542146585450165,-0.0009052215789380202,-0.008046264883738163,0.0542146585450165
562,2009,621.0,607.0,0.9865904204050464,0.9876887934212388,0.8898831860786608,0.914511336144186,628011877.0,575035470.0,0.0,0.084355740616033,-0.0010983730161924221,-0.02462815006552521,0.084355740616033
562,2010,576.0,562.0,0.975718729520785,0.9742450294403888,0.7815856793962356,0.7773704489651986,478624848.0,396216345.0,0.0,0.1721776530081029,0.0014737000803961564,0.004215230431036998,0.1721776530081029
562,2011,501.0,491.0,0.9787167338953296,0.9795449577839936,0.8267318376535189,0.8241725378122807,990325549.0,967357345.0,0.0,0.0231925794736816,-0.0008282238886639925,0.0025592998412381496,0.0231925794736816
562,2012,552.0,535.0,0.9682045049543508,0.959327741767515,0.6612454827646912,0.5996889090266592,630734798.0,392438902.0,0.0,0.3778068005057174,0.008876763186835834,0.06155657373803203,0.3778068005057174
562,2013,471.0,451.0,0.9825766859724948,0.98317974431601,0.8381948485445879,0.8487538616246364,1337151358.0,871997622.0,0.0,0.3478691721898547,-0.0006030583435151504,-0.010559013080048474,0.3478691721898547
562,2014,599.0,579.0,0.98248943478186,0.9820783668606544,0.8309105240109415,0.8248784647481414,1022624773.0,734866005.0,0.0,0.2813923304007422,0.000411067921205599,0.006032059262800038,0.2813923304007422
562,2015,759.0,740.0,0.984827616807765,0.9857596769221936,0.8492172545634487,0.8841006590682808,789633029.0,587259638.0,0.0,0.2562879002874131,-0.00093206011442859,-0.03488340450483218,0.2562879002874131
562,2016,984.0,963.0,0.9780813446143084,0.9738525488570172,0.8601663282057705,0.8335783203820541,664403846.648,456858586.679,0.0,0.3123781733295068,0.004228795757291182,0.026588007823716397,0.3123781733295068
562,2017,836.0,818.0,0.9768529100151742,0.9710416133607448,0.8465860080027833,0.81289830756651,870777712.4619999,549429956.02,1.1102230246251563e-16,0.3690353483364141,0.005811296654429365,0.03368770043627323,0.3690353483364141
562,2018,786.0,774.0,0.9724625063007366,0.955091618674142,0.8369807590044256,0.7438805464089692,888562905.8469999,441748472.19399995,1.1102230246251563e-16,0.5028506487417292,0.017370887626594556,0.09310021259545642,0.5028506487417292
562,2019,583.0,570.0,0.975148497452643,0.9697267371983292,0.8387737612473866,0.8200054330082234,695923142.195,438066088.28700006,0.0,0.370525189167725,0.005421760254313734,0.01876832823916319,0.370525189167725
562,2020,611.0,591.0,0.9744818285676422,0.9707792189122276,0.831125077375873,0.798127982540515,706390476.3379999,435143346.2720001,2.220446049250313e-16,0.3839903554082051,0.0037026096554145793,0.032997094835358065,0.3839903554082051
562,2021,497.0,478.0,0.9759877579768332,0.9721469593689472,0.8175004378544796,0.8370675445564735,737116422.267,407636754.87,1.1102230246251563e-16,0.4469845704748865,0.003840798607885998,-0.019567106701993908,0.4469845704748865
562,2022,545.0,531.0,0.9678140005481232,0.9559416938275482,0.8038777274273531,0.7494683053023578,423111547.095,228525297.10899997,0.0,0.4598934992958491,0.011872306720574932,0.05440942212499533,0.4598934992958491
562,2023,369.0,359.0,0.9769650297425112,0.9731214424198706,0.8582529782121284,0.8404367047807938,467426222.437,269175999.004,-2.220446049250313e-16,0.4241315825188225,0.0038435873226405626,0.017816273431334628,0.4241315825188225
562,2024,449.0,433.0,0.9863482823307308,0.9198507488809002,0.9127607331429368,0.3886392823386247,1007786657.424,116338198.712,0.0,0.8845606876664038,0.06649753344983056,0.5241214508043122,0.8845606876664038
579,1993,3866.0,3734.0,0.9630363634383984,0.9185543004572676,0.7483051676346624,0.4795151241582358,29791133054.0,11575662544.0,0.0,0.611439332535029,0.04448206298113078,0.2687900434764266,0.611439332535029
579,1994,3969.0,3843.0,0.9605752498519546,0.918881859350372,0.7368373223164442,0.4854542663668835,32332578483.0,13574405491.0,0.0,0.5801632245897981,0.041693390501582606,0.2513830559495607,0.5801632245897981
579,1995,3971.0,3844.0,0.959662026447186,0.9205112739374866,0.7277576581238818,0.4897306899680482,38722497615.0,17055780569.0,0.0,0.5595382111304443,0.03915075250969946,0.23802696815583363,0.5595382111304443
579,1996,4017.0,3897.0,0.9631920403036898,0.91737980641776,0.7569508235436008,0.4722930686754019,45926483207.0,17843534212.0,0.0,0.6114761469634946,0.04581223388592981,0.2846577548681989,0.6114761469634946
579,1997,4019.0,3892.0,0.9637391334452958,0.9203821990475388,0.7536994411379331,0.4829931788211187,45708456006.0,17860568110.0,0.0,0.6092502422821829,0.04335693439775701,0.2707062623168144,0.6092502422821829
