flow,product_id
Exports,HS1992:110412
Exports,HS1992:110419
Exports,HS1992:110421
Exports,HS1992:110422
Exports,HS1992:110423
Exports,HS1992:110429
Exports,HS1992:110430
Exports,HS1992:110510
Exports,HS1992:110520
Exports,HS1992:110610
Exports,HS1992:110620
Exports,HS1992:110630
Exports,HS1992:110710
Exports,HS1992:110720
Exports,HS1992:110811
Exports,HS1992:110812
Exports,HS1992:110813
Exports,HS1992:110814
Exports,HS1992:110819
Exports,HS1992:110820
Exports,HS1992:110900
Exports,HS1992:120100
Exports,HS1992:120210
Exports,HS1992:120220
Exports,HS1992:120300
Exports,HS1992:120400
Exports,HS1992:120500
Exports,HS1992:120600
Exports,HS1992:120710
Exports,HS1992:120720
Exports,HS1992:120730
Exports,HS1992:120740
Exports,HS1992:120750
Exports,HS1992:120760
Exports,HS1992:120791
Exports,HS1992:120792
Exports,HS1992:120799
Exports,HS1992:120810
Exports,HS1992:120890
Exports,HS1992:120911
Exports,HS1992:120919
Exports,HS1992:120921
Exports,HS1992:120922
Exports,HS1992:120923
Exports,HS1992:120924
Exports,HS1992:120925
Exports,HS1992:120926
Exports,HS1992:120929
Exports,HS1992:120930
Exports,HS1992:120991
Exports,HS1992:120999
Exports,HS1992:121010
Exports,HS1992:121020
Exports,HS1992:121110
Exports,HS1992:121120
Exports,HS1992:121190
Exports,HS1992:121210
Exports,HS1992:121220
Exports,HS1992:121230
Exports,HS1992:121291
Exports,HS1992:121292
Exports,HS1992:121299
Exports,HS1992:121300
Exports,HS1992:121410
Exports,HS1992:121490
Exports,HS1992:130110
Exports,HS1992:130120
Exports,HS1992:130190
Exports,HS1992:130211
Exports,HS1992:130212
Exports,HS1992:130213
Exports,HS1992:130214
Exports,HS1992:130219
Exports,HS1992:130220
Exports,HS1992:130231
Exports,HS1992:130232
Exports,HS1992:130239
Exports,HS1992:140110
Exports,HS1992:140120
Exports,HS1992:140190
Exports,HS1992:140210
Exports,HS1992:140291
Exports,HS1992:140299
Exports,HS1992:140310
Exports,HS1992:140390
Exports,HS1992:140410
Exports,HS1992:140420
Exports,HS1992:140490
Exports,HS1992:150100
Exports,HS1992:150200
Exports,HS1992:150300
Exports,HS1992:150410
Exports,HS1992:150420
Exports,HS1992:150430
Exports,HS1992:150510
Exports,HS1992:150590
Exports,HS1992:150600
Exports,HS1992:150710
Exports,HS1992:150790
Exports,HS1992:150810
Exports,HS1992:150890
Exports,HS1992:150910
Exports,HS1992:150990
Exports,HS1992:151000
Exports,HS1992:151110
Exports,HS1992:151190
Exports,HS1992:151211
Exports,HS1992:151219
Exports,HS1992:151221
Exports,HS1992:151229
Exports,HS1992:151311
Exports,HS1992:151319
Exports,HS1992:151321
Exports,HS1992:151329
Exports,HS1992:151410
Exports,HS1992:151490
Exports,HS1992:151511
Exports,HS1992:151519
Exports,HS1992:151521
Exports,HS1992:151529
Exports,HS1992:151530
Exports,HS1992:151540
Exports,HS1992:151550
Exports,HS1992:151560
Exports,HS1992:151590
Exports,HS1992:151610
Exports,HS1992:151620
Exports,HS1992:151710
Exports,HS1992:151790
Exports,HS1992:151800
Exports,HS1992:151911
Exports,HS1992:151912
Exports,HS1992:151913
Exports,HS1992:151919
Exports,HS1992:151920
Exports,HS1992:151930
Exports,HS1992:152010
Exports,HS1992:152090
Exports,HS1992:152110
Exports,HS1992:152190
Exports,HS1992:152200
Exports,HS1992:160100
Exports,HS1992:160210
Exports,HS1992:160220
Exports,HS1992:160231
Exports,HS1992:160239
Exports,HS1992:160241
Exports,HS1992:160242
Exports,HS1992:160249
Exports,HS1992:160250
Exports,HS1992:160290
Exports,HS1992:160300
Exports,HS1992:160411
Exports,HS1992:160412
Exports,HS1992:160413
Exports,HS1992:160414
Exports,HS1992:160415
Exports,HS1992:160416
Exports,HS1992:160419
Exports,HS1992:160420
Exports,HS1992:160430
Exports,HS1992:160510
Exports,HS1992:160520
Exports,HS1992:160530
Exports,HS1992:160540
Exports,HS1992:160590
Exports,HS1992:170111
Exports,HS1992:170112
Exports,HS1992:170191
Exports,HS1992:170199
Exports,HS1992:170210
Exports,HS1992:170220
Exports,HS1992:170230
Exports,HS1992:170240
Exports,HS1992:170250
Exports,HS1992:170260
Exports,HS1992:170290
Exports,HS1992:170310
Exports,HS1992:170390
Exports,HS1992:170410
Exports,HS1992:170490
Exports,HS1992:180100
Exports,HS1992:180200
Exports,HS1992:180310
Exports,HS1992:180320
Exports,HS1992:180400
Exports,HS1992:180500
Exports,HS1992:180610
Exports,HS1992:180620
Exports,HS1992:180631
Exports,HS1992:180632
Exports,HS1992:180690
Exports,HS1992:190110
Exports,HS1992:190120
Exports,HS1992:190190
Exports,HS1992:190211
Exports,HS1992:190219
Exports,HS1992:190220
Exports,HS1992:190230
Exports,HS1992:190240
Exports,HS1992:190300
Exports,HS1992:190410
Exports,HS1992:190490
Exports,HS1992:190510
Exports,HS1992:190520
Exports,HS1992:190530
Exports,HS1992:190540
Exports,HS1992:190590
Exports,HS1992:200110
Exports,HS1992:200120
Exports,HS1992:200190
Exports,HS1992:200210
Exports,HS1992:200290
Exports,HS1992:200310
Exports,HS1992:200320
Exports,HS1992:200410
Exports,HS1992:200490
Exports,HS1992:200510
Exports,HS1992:200520
Exports,HS1992:200530
Exports,HS1992:200540
Exports,HS1992:200551
Exports,HS1992:200559
Exports,HS1992:200560
Exports,HS1992:200570
Exports,HS1992:200580
Exports,HS1992:200590
Exports,HS1992:200600
Exports,HS1992:200710
Exports,HS1992:200791
Exports,HS1992:200799
Exports,HS1992:200811
Exports,HS1992:200819
Exports,HS1992:200820
Exports,HS1992:200830
Exports,HS1992:200840
Exports,HS1992:200850
Exports,HS1992:200860
Exports,HS1992:200870
Exports,HS1992:200880
Exports,HS1992:200891
Exports,HS1992:200892
Exports,HS1992:200899
Exports,HS1992:200911
Exports,HS1992:200919
Exports,HS1992:200920
Exports,HS1992:200930
Exports,HS1992:200940
Exports,HS1992:200950
Exports,HS1992:200960
Exports,HS1992:200970
Exports,HS1992:200980
Exports,HS1992:200990
Exports,HS1992:210110
Exports,HS1992:210120
Exports,HS1992:210130
Exports,HS1992:210210
Exports,HS1992:210220
Exports,HS1992:210230
Exports,HS1992:210310
Exports,HS1992:210320
Exports,HS1992:210330
Exports,HS1992:210390
Exports,HS1992:210410
Exports,HS1992:210420
Exports,HS1992:210500
Exports,HS1992:210610
Exports,HS1992:210690
Exports,HS1992:220110
Exports,HS1992:220190
Exports,HS1992:220210
Exports,HS1992:220290
Exports,HS1992:220300
Exports,HS1992:220410
Exports,HS1992:220421
Exports,HS1992:220429
Exports,HS1992:220430
Exports,HS1992:220510
Exports,HS1992:220590
Exports,HS1992:220600
Exports,HS1992:220710
Exports,HS1992:220720
Exports,HS1992:220810
Exports,HS1992:220820
Exports,HS1992:220830
Exports,HS1992:220840
Exports,HS1992:220850
Exports,HS1992:220890
Exports,HS1992:220900
Exports,HS1992:230110
Exports,HS1992:230120
Exports,HS1992:230210
Exports,HS1992:230220
Exports,HS1992:230230
Exports,HS1992:230240
Exports,HS1992:230250
Exports,HS1992:230310
Exports,HS1992:230320
Exports,HS1992:230330
Exports,HS1992:230400
Exports,HS1992:230500
Exports,HS1992:230610
Exports,HS1992:230620
Exports,HS1992:230630
Exports,HS1992:230640
Exports,HS1992:230650
Exports,HS1992:230660
Exports,HS1992:230690
Exports,HS1992:230700
Exports,HS1992:230810
Exports,HS1992:230890
Exports,HS1992:230910
Exports,HS1992:230990
Exports,HS1992:240110
Exports,HS1992:240120
Exports,HS1992:240130
Exports,HS1992:240210
Exports,HS1992:240220
Exports,HS1992:240290
Exports,HS1992:240310
Exports,HS1992:240391
Exports,HS1992:240399
Exports,HS1992:250100
Exports,HS1992:250200
Exports,HS1992:250310
Exports,HS1992:250390
Exports,HS1992:250410
Exports,HS1992:250490
Exports,HS1992:250510
Exports,HS1992:250590
Exports,HS1992:250610
Exports,HS1992:250621
Exports,HS1992:250629
Exports,HS1992:250700
Exports,HS1992:250810
Exports,HS1992:250820
Exports,HS1992:250830
Exports,HS1992:250840
Exports,HS1992:250850
Exports,HS1992:250860
Exports,HS1992:250870
Exports,HS1992:250900
Exports,HS1992:251010
Exports,HS1992:251020
Exports,HS1992:251110
Exports,HS1992:251120
Exports,HS1992:251200
Exports,HS1992:251311
Exports,HS1992:251319
Exports,HS1992:251321
Exports,HS1992:251329
Exports,HS1992:251400
Exports,HS1992:251511
Exports,HS1992:251512
Exports,HS1992:251520
Exports,HS1992:251611
Exports,HS1992:251612
Exports,HS1992:251621
Exports,HS1992:251622
Exports,HS1992:251690
Exports,HS1992:251710
Exports,HS1992:251720
Exports,HS1992:251730
Exports,HS1992:251741
Exports,HS1992:251749
Exports,HS1992:251810
Exports,HS1992:251820
Exports,HS1992:251830
Exports,HS1992:251910
Exports,HS1992:251990
Exports,HS1992:252010
Exports,HS1992:252020
Exports,HS1992:252100
Exports,HS1992:252210
Exports,HS1992:252220
Exports,HS1992:252230
Exports,HS1992:252310
Exports,HS1992:252321
Exports,HS1992:252329
Exports,HS1992:252330
Exports,HS1992:252390
Exports,HS1992:252400
Exports,HS1992:252510
Exports,HS1992:252520
Exports,HS1992:252530
Exports,HS1992:252610
Exports,HS1992:252620
Exports,HS1992:252700
Exports,HS1992:252810
Exports,HS1992:252890
Exports,HS1992:252910
Exports,HS1992:252921
Exports,HS1992:252922
Exports,HS1992:252930
Exports,HS1992:253010
Exports,HS1992:253020
Exports,HS1992:253030
Exports,HS1992:253040
Exports,HS1992:253090
Exports,HS1992:260111
Exports,HS1992:260112
Exports,HS1992:260120
Exports,HS1992:260200
Exports,HS1992:260300
Exports,HS1992:260400
Exports,HS1992:260500
Exports,HS1992:260600
Exports,HS1992:260700
Exports,HS1992:260800
Exports,HS1992:260900
Exports,HS1992:261000
Exports,HS1992:261100
Exports,HS1992:261210
Exports,HS1992:261220
Exports,HS1992:261310
Exports,HS1992:261390
Exports,HS1992:261400
Exports,HS1992:261510
Exports,HS1992:261590
Exports,HS1992:261610
Exports,HS1992:261690
Exports,HS1992:261710
Exports,HS1992:261790
Exports,HS1992:261800
Exports,HS1992:261900
Exports,HS1992:262011
Exports,HS1992:262019
Exports,HS1992:262020
Exports,HS1992:262030
Exports,HS1992:262040
Exports,HS1992:262050
Exports,HS1992:262090
Exports,HS1992:262100
Exports,HS1992:270111
Exports,HS1992:270112
Exports,HS1992:270119
Exports,HS1992:270120
Exports,HS1992:270210
Exports,HS1992:270220
Exports,HS1992:270300
Exports,HS1992:270400
Exports,HS1992:270500
Exports,HS1992:270600
Exports,HS1992:270710
Exports,HS1992:270720
Exports,HS1992:270730
Exports,HS1992:270740
Exports,HS1992:270750
Exports,HS1992:270760
Exports,HS1992:270791
Exports,HS1992:270799
Exports,HS1992:270810
Exports,HS1992:270820
Exports,HS1992:270900
Exports,HS1992:271000
Exports,HS1992:271011
Exports,HS1992:271012
Exports,HS1992:271013
Exports,HS1992:271014
Exports,HS1992:271015
Exports,HS1992:271016
Exports,HS1992:271019
Exports,HS1992:271021
Exports,HS1992:271022
Exports,HS1992:271025
Exports,HS1992:271026
Exports,HS1992:271027
Exports,HS1992:271029
Exports,HS1992:271091
Exports,HS1992:271093
Exports,HS1992:271094
Exports,HS1992:271095
Exports,HS1992:271096
Exports,HS1992:271099
Exports,HS1992:271111
Exports,HS1992:271112
Exports,HS1992:271113
Exports,HS1992:271114
Exports,HS1992:271119
Exports,HS1992:271121
Exports,HS1992:271129
