year,flow,dimension,variant,countries,rows,median_gini,median_theil,median_hhi,mean_gini,mean_theil,mean_hhi,median_active_count,median_total_trade_value
2019,Exports,partner,baseline,154,154,0.9007302105447206,2.149252286329526,0.11573818421138592,0.8937890668400968,2.2077906086512558,0.17616583469132313,147.0,11370584600.435001
2020,Exports,partner,baseline,152,152,0.8938867690752094,2.0944327796970126,0.1141979937367773,0.8869738377808836,2.154438503701748,0.16822501272487284,145.0,11133045243.6305
2021,Exports,partner,baseline,153,153,0.898251898629028,2.116210862629248,0.11263199903303674,0.8868911936424877,2.182066279980353,0.17406260842047838,144.0,13735599195.0
2022,Exports,partner,baseline,150,150,0.9000226292948178,2.1375711877274144,0.11260165923282868,0.8880923633364982,2.1877251413591243,0.17875383166106829,145.5,15562923622.733
2023,Exports,partner,baseline,149,149,0.8979020865568808,2.1138409779234384,0.11240183472939937,0.8874755635105344,2.1967901635445215,0.1904029733412822,143.0,12694967528.394001
2024,Exports,partner,baseline,132,132,0.8986456268190574,2.1243931553297557,0.10609774746389128,0.8849714897797583,2.1721141286914345,0.17052593314005327,156.5,20263009837.470497
2000,Imports,partner,baseline,146,146,0.8943974756549632,2.0647739490479786,0.10924776600688899,0.8927395570565021,2.1694390583218186,0.17927389802251378,137.5,3656061570.5
2001,Imports,partner,baseline,149,149,0.8947354175556639,2.0869014251212814,0.10411823535860516,0.8929767433019542,2.1558271878325828,0.17041257224497713,139.0,4007964716.0
2002,Imports,partner,baseline,148,148,0.8942212947951809,2.0943635448780125,0.10180227621172858,0.8902833942170919,2.1452603868443405,0.16412059387791345,138.0,4547081057.0
2003,Imports,partner,baseline,151,151,0.8979321168204277,2.115140554249597,0.10013088018050732,0.8953847903882423,2.18169622612309,0.16105825930185225,143.0,4897430597.660999
2004,Imports,partner,baseline,151,151,0.8985705315081085,2.1351199589656202,0.09961839227317033,0.8962357669625273,2.1952744699850486,0.17307730848191336,145.0,6004565954.359
2005,Imports,partner,baseline,150,150,0.8973640664339047,2.123863106594298,0.08979677661463935,0.8960342882647372,2.162377929543188,0.15069225513701184,150.5,7481000884.2535
2006,Imports,partner,baseline,155,155,0.9005817922263795,2.1327490023961517,0.0981460678091044,0.8990260865429295,2.199285534232672,0.16226743533856658,153.0,9395085285.0
2007,Imports,partner,baseline,155,155,0.89787409285281,2.10683114654837,0.08944948823239197,0.8992103810378443,2.194595279097561,0.15148129148374495,156.0,11094843725.0
2008,Imports,partner,baseline,152,152,0.8989070178804429,2.09995894331197,0.08407206232652034,0.899130569111037,2.191760623073185,0.14420458532422065,161.0,14905450723.0
2009,Imports,partner,baseline,151,151,0.8979232752308313,2.118898852994213,0.08920243409808197,0.897274065790667,2.196871942339848,0.14915376165865668,162.0,9431850965.0
2010,Imports,partner,baseline,154,154,0.8974673214467732,2.112352939224942,0.09153348503177847,0.8981356985731874,2.198325718154384,0.14122692087797992,161.0,12775138063.5
2011,Imports,partner,baseline,152,152,0.9028251722491011,2.137492256457185,0.09452543295924103,0.9009255422694991,2.234775435602464,0.14697740389715797,166.5,17127065987.0
2012,Imports,partner,baseline,152,152,0.9006414639659759,2.136697710951813,0.093184013399252,0.9001295728670005,2.208009538991072,0.13639318985288917,167.0,15165764345.0
2013,Imports,partner,baseline,154,154,0.9026595220511587,2.1515501081277995,0.09482683287767091,0.9006801269280272,2.215784719042254,0.1355752794150177,171.5,17674464504.0
2014,Imports,partner,baseline,153,153,0.902821517632034,2.1474950606655803,0.09064731754842764,0.900726059234891,2.2142696238435695,0.13561261572496552,171.0,18263243838.0
2015,Imports,partner,baseline,153,153,0.8996074538049861,2.1369453626876496,0.09315975354633678,0.8996538379303922,2.211617300355548,0.13512999753418983,172.0,16389939722.977
2016,Imports,partner,baseline,155,155,0.8992985921894203,2.139887681799508,0.09112439912487896,0.8997928967372357,2.2063237744545323,0.13117210113663055,173.0,14748516726.853996
2017,Imports,partner,baseline,156,156,0.9014556763768253,2.149802048680122,0.09001296422038318,0.8991013873521806,2.2064513465974667,0.1348864242840195,174.5,16079769649.475002
2018,Imports,partner,baseline,154,154,0.9033627408077358,2.1548656489564717,0.09044854166763391,0.900759493174,2.2234991801962174,0.13261320913187968,176.5,16969870263.810501
2019,Imports,partner,baseline,154,154,0.9037217388162884,2.1542418697694288,0.09152506406789745,0.9004424663750588,2.21603782912732,0.12933274337222,179.0,17177845422.807503
2020,Imports,partner,baseline,152,152,0.9027839622245402,2.1842544427519477,0.09436496023415653,0.8987912414484441,2.2045554114813033,0.13022895876239338,176.0,15061979413.978
2021,Imports,partner,baseline,153,153,0.9045865779485869,2.1971802030864973,0.09399234673229093,0.9020056081800738,2.242265865119324,0.1310492383249043,185.0,18428113840.579998
2022,Imports,partner,baseline,150,150,0.9052401481780467,2.183224360024751,0.09181861852243736,0.9018428581481951,2.236296159651354,0.12952444409511307,184.5,17925602055.0345
2023,Imports,partner,baseline,149,149,0.9044790093038408,2.1762125925827265,0.09155454387974696,0.9018203970499711,2.239188494018646,0.13328816335139423,187.0,17560700573.132004
2024,Imports,partner,baseline,132,132,0.9046115348519869,2.1902680647564727,0.08880180054524496,0.9028907479991497,2.238088653466567,0.125178023383728,188.0,25486366110.079998
2000,Exports,product,baseline,142,142,0.9515804919224675,4.993741804931577,0.07103114415624537,0.9417856784970853,4.976658903821779,0.15422351871316317,2130.0,2712642013.5
2001,Exports,product,baseline,146,146,0.950970040143036,5.091135337692666,0.06945221112537231,0.941226593538856,4.993942287538669,0.15084134292695328,2017.0,2508234922.915
2002,Exports,product,baseline,146,146,0.9538560736050777,4.9878306373153505,0.07214055190196274,0.9427128017990709,4.977522437303405,0.15420535743952749,2136.5,3164764650.0
2003,Exports,product,baseline,149,149,0.9520304733756975,4.92358464650152,0.06500606368803606,0.942475262013847,4.972808344235423,0.15340339999813105,2241.0,3787687464.0
