metric,flow,horizon,concentration_bucket,observations,countries,mean_annualized_trade_growth_log,median_annualized_trade_growth_log,mean_annualized_product_active_count_growth_log,median_base_trade_value
theil,Exports,10,low_product_high_partner,556,64,0.05164562071027413,0.04391074094106031,0.0029884757714771313,39472647344.5
theil,Exports,10,low_product_low_partner,554,61,0.05520406252391242,0.04699418873499077,0.0025915282633275547,28049147899.5
theil,Imports,10,high_product_high_partner,510,81,0.054312895966437125,0.04550619148542712,0.007631136142776986,3297970064.5
theil,Imports,10,high_product_low_partner,572,78,0.07925302031923379,0.06824488783396579,0.010780035778843348,3162785493.5299997
theil,Imports,10,low_product_high_partner,590,78,0.050492193255123906,0.04071530823571479,0.0009229640548698591,25644409102.0
theil,Imports,10,low_product_low_partner,512,67,0.05377961294534934,0.041098652637883856,0.002355713190101344,31832276980.5
hhi,Exports,1,high_product_high_partner,1258,89,0.05493437066782546,0.06369768432232803,0.01922747973553463,1420702190.069
hhi,Exports,1,high_product_low_partner,507,63,0.05986604917128407,0.06491965778147346,0.022401016477781924,4934223247.0
hhi,Exports,1,low_product_high_partner,516,60,0.06491288829188863,0.06746123642339796,0.008870778128043917,9623750075.5
hhi,Exports,1,low_product_low_partner,1282,77,0.06813564744799358,0.07514754590310169,0.0040697607286917705,60179893384.0
hhi,Imports,1,high_product_high_partner,963,89,0.06459247088154439,0.06276344186105831,0.014216492911923012,3200786240.0
hhi,Imports,1,high_product_low_partner,819,74,0.07378088984642293,0.08033189339342428,0.006510622352872649,10608026727.062
hhi,Imports,1,low_product_high_partner,819,85,0.06421010706300377,0.06999505084992563,0.00015314853423090735,12141933489.0
hhi,Imports,1,low_product_low_partner,965,79,0.07330076244877527,0.0891659278141077,0.004203854748613018,50823305052.261
hhi,Exports,5,high_product_high_partner,1044,87,0.05999246440017391,0.05518625886273583,0.02479095246403958,1319269253.5
hhi,Exports,5,high_product_low_partner,409,57,0.061880805514162515,0.05985910273112225,0.017866741585373835,4408929314.0
hhi,Exports,5,low_product_high_partner,418,51,0.06573449909512745,0.05470804984768307,0.006663668065319392,7875748835.394
hhi,Exports,5,low_product_low_partner,1071,75,0.06524476878372373,0.0576689168978767,0.004015966402090092,58607127166.0
hhi,Imports,5,high_product_high_partner,797,87,0.06812713531559746,0.06589559684036388,0.010702449971564273,2947030803.0
hhi,Imports,5,high_product_low_partner,671,68,0.07733669281149053,0.07196387774708554,0.005970986100683803,10258743642.0
hhi,Imports,5,low_product_high_partner,675,78,0.06036420739667025,0.052598442943980216,0.001361820514922287,10666368545.77
hhi,Imports,5,low_product_low_partner,801,74,0.06747901972728451,0.056552164779775184,0.005015938583618944,44487204337.0
hhi,Exports,10,high_product_high_partner,771,82,0.05106645115302927,0.038796795543998286,0.025116543806212317,1280987411.0
hhi,Exports,10,high_product_low_partner,298,55,0.05742551618392697,0.04869511371071535,0.01985098544248574,3281648115.5
hhi,Exports,10,low_product_high_partner,310,46,0.05788396173675023,0.0494443554491248,0.004308672483774612,6747147789.0215
hhi,Exports,10,low_product_low_partner,802,70,0.055378585777174125,0.04585091393750211,0.004558910677472626,56520178131.5
