metric,rank,country,iso3,reporter_code,year,flow,metric_value,active_count,universe_count,total_trade_value
gini,11,Pakistan,PAK,586,2024,Imports,0.9324535916343231,4444,6891,56467161489.035
gini,12,Armenia,ARM,51,2024,Imports,0.9295859947646559,4498,6891,16795026899.242
gini,13,Malta,MLT,470,2024,Imports,0.928449419951674,4727,6891,9442947279.227001
gini,14,Nigeria,NGA,566,2024,Imports,0.9277786051451138,4495,6891,39593021295.422
gini,15,Côte d'Ivoire,CIV,384,2024,Imports,0.926905430647027,4450,6891,17219302729.824
gini,16,Senegal,SEN,686,2024,Imports,0.9256410993019026,4135,6891,11348956799.039001
gini,17,Zambia,ZMB,894,2024,Imports,0.9225668218586347,4489,6891,11261976450.303001
gini,18,Lebanon,LBN,422,2024,Imports,0.9224376674258974,4278,6891,17302339444.0
gini,19,Guyana,GUY,328,2024,Imports,0.9215309795667985,3728,6891,7210493332.705
gini,20,Kyrgyzstan,KGZ,417,2024,Imports,0.9192964039524436,4108,6891,11705748368.0
gini,21,Malawi,MWI,454,2024,Imports,0.918627674854507,3957,6891,3210845719.6449995
gini,22,"China, Macao SAR",MAC,446,2024,Imports,0.9182159425220271,2022,6891,14765080532.808
gini,23,India,IND,699,2024,Imports,0.9180134379435219,5051,6891,696237787539.398
gini,24,Oman,OMN,512,2024,Imports,0.9165544997397077,4876,6891,43442274722.595
gini,25,Zimbabwe,ZWE,716,2024,Imports,0.9162997954707923,4305,6891,9467255896.909
gini,26,Switzerland,CHE,757,2024,Imports,0.9161488970145213,5453,6891,366764520548.95496
gini,27,United Rep. of Tanzania,TZA,834,2024,Imports,0.9159096276685426,4569,6891,15684503481.074001
gini,28,Madagascar,MDG,450,2024,Imports,0.9147787235503217,4140,6891,4795450240.825
gini,29,Slovenia,SVN,705,2024,Imports,0.9118907186491712,5175,6891,74893348302.437
gini,30,Mozambique,MOZ,508,2024,Imports,0.9117777020276525,4464,6891,9137666103.400002
gini,31,Ireland,IRL,372,2024,Imports,0.9114638419783156,5383,6891,144399723001.803
gini,32,Angola,AGO,24,2024,Imports,0.9105329881172164,4746,6891,13877313995.48
gini,33,Nicaragua,NIC,558,2024,Imports,0.9100383577999602,4054,6891,11463316027.5
gini,34,Central African Rep.,CAF,140,2024,Imports,0.9074339662672037,1603,6891,779447228.9219999
gini,35,Kenya,KEN,404,2024,Imports,0.9068177218364486,4631,6891,20203093057.8
gini,36,Egypt,EGY,818,2024,Imports,0.9067441764012907,4706,6891,94634470705.659
gini,37,Namibia,NAM,516,2024,Imports,0.9051468796904532,4802,6891,8876440749.341
gini,38,Bahrain,BHR,48,2024,Imports,0.9051287433833966,4662,6891,15557899390.082003
gini,39,Jamaica,JAM,388,2024,Imports,0.9048869874028895,4089,6891,7287753164.01
gini,40,Malaysia,MYS,458,2024,Imports,0.9047162229170436,5352,6891,298695905548.438
gini,41,Honduras,HND,340,2024,Imports,0.9032510812178354,4185,6891,14508558215.869999
gini,42,Rep. of Korea,KOR,410,2024,Imports,0.903070337050506,5386,6891,631727134467.0
gini,43,Cyprus,CYP,196,2024,Imports,0.9029829436235475,4481,6891,13417044844.494999
gini,44,Cambodia,KHM,116,2024,Imports,0.9028117593833189,4323,6891,28678192248.839996
gini,45,Morocco,MAR,504,2024,Imports,0.9027100018684477,4938,6891,96711070144.586
gini,46,Lesotho,LSO,426,2024,Imports,0.9016118314318748,4097,6891,1860489643.248
gini,47,Iceland,ISL,352,2024,Imports,0.899833573784752,4861,6891,9835443738.776001
gini,48,Togo,TGO,768,2024,Imports,0.8992564088942605,2598,6891,2967928810.08
gini,49,Samoa,WSM,882,2024,Imports,0.8989956509779378,2964,6891,489557369.44500005
gini,50,Bolivia (Plurinational State of),BOL,68,2024,Imports,0.8987680325009613,4295,6891,9899603990.0
gini,51,Georgia,GEO,268,2024,Imports,0.8984746298747845,4453,6891,16489789708.664
gini,52,Paraguay,PRY,600,2024,Imports,0.8975528770915493,4347,6891,17199851893.045
gini,53,Jordan,JOR,400,2024,Imports,0.897185109191567,4206,6891,25115174441.882
gini,54,Seychelles,SYC,690,2024,Imports,0.8957622790957074,3886,6891,1495419600.066
gini,55,Japan,JPN,392,2024,Imports,0.8953738824201607,5221,6891,728895746306.2009
gini,56,Trinidad and Tobago,TTO,780,2024,Imports,0.8952860016144153,3980,6891,7664459762.997999
gini,57,Sri Lanka,LKA,144,2024,Imports,0.895209342885456,4661,6891,18390817345.496002
gini,58,Fiji,FJI,242,2024,Imports,0.8951500660557121,3920,6891,2967071515.004
gini,59,Philippines,PHL,608,2024,Imports,0.8949630968901934,4927,6891,134881084425.0
gini,60,Kuwait,KWT,414,2024,Imports,0.8941671033529164,4724,6891,36781291320.0
gini,61,Thailand,THA,764,2024,Imports,0.8936431478067643,5261,6891,307555410756.42
gini,62,Cabo Verde,CPV,132,2024,Imports,0.8930380743739108,3511,6891,915583980.366
